artifact_id,pattern,glass_type,color,surface_weathering,raw_row_id
01,C,高钾,蓝绿,无风化,表单1:2
02,A,铅钡,浅蓝,风化,表单1:3
03,A,高钾,蓝绿,无风化,表单1:4
04,A,高钾,蓝绿,无风化,表单1:5
05,A,高钾,蓝绿,无风化,表单1:6
06,A,高钾,蓝绿,无风化,表单1:7
07,B,高钾,蓝绿,风化,表单1:8
08,C,铅钡,紫,风化,表单1:9
09,B,高钾,蓝绿,风化,表单1:10
10,B,高钾,蓝绿,风化,表单1:11
11,C,铅钡,浅蓝,风化,表单1:12
12,B,高钾,蓝绿,风化,表单1:13
13,C,高钾,浅蓝,无风化,表单1:14
14,C,高钾,深绿,无风化,表单1:15
15,C,高钾,浅蓝,无风化,表单1:16
16,C,高钾,浅蓝,无风化,表单1:17
17,C,高钾,浅蓝,无风化,表单1:18
18,A,高钾,深蓝,无风化,表单1:19
19,A,铅钡,,风化,表单1:20
20,A,铅钡,浅蓝,无风化,表单1:21
21,A,高钾,蓝绿,无风化,表单1:22
22,B,高钾,蓝绿,风化,表单1:23
23,A,铅钡,蓝绿,风化,表单1:24
24,C,铅钡,紫,无风化,表单1:25
25,C,铅钡,浅蓝,风化,表单1:26
26,C,铅钡,紫,风化,表单1:27
27,B,高钾,蓝绿,风化,表单1:28
28,A,铅钡,浅蓝,风化,表单1:29
29,A,铅钡,浅蓝,风化,表单1:30
30,A,铅钡,深蓝,无风化,表单1:31
31,C,铅钡,紫,无风化,表单1:32
32,C,铅钡,浅绿,无风化,表单1:33
33,C,铅钡,深绿,无风化,表单1:34
34,C,铅钡,深绿,风化,表单1:35
35,C,铅钡,浅绿,无风化,表单1:36
36,C,铅钡,深绿,风化,表单1:37
37,C,铅钡,深绿,无风化,表单1:38
38,C,铅钡,深绿,风化,表单1:39
39,C,铅钡,深绿,风化,表单1:40
40,C,铅钡,,风化,表单1:41
41,C,铅钡,浅绿,风化,表单1:42
42,A,铅钡,浅蓝,风化,表单1:43
43,C,铅钡,浅蓝,风化,表单1:44
44,A,铅钡,浅蓝,风化,表单1:45
45,A,铅钡,浅蓝,无风化,表单1:46
46,A,铅钡,浅蓝,无风化,表单1:47
47,A,铅钡,浅蓝,无风化,表单1:48
48,A,铅钡,,风化,表单1:49
49,A,铅钡,黑,风化,表单1:50
50,A,铅钡,黑,风化,表单1:51
51,C,铅钡,浅蓝,风化,表单1:52
52,C,铅钡,浅蓝,风化,表单1:53
53,A,铅钡,浅蓝,风化,表单1:54
54,C,铅钡,浅蓝,风化,表单1:55
55,C,铅钡,绿,无风化,表单1:56
56,C,铅钡,蓝绿,风化,表单1:57
57,C,铅钡,蓝绿,风化,表单1:58
58,C,铅钡,,风化,表单1:59
