sample_point,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2,artifact_id,raw_row_id,pattern,glass_type,color,surface_weathering,point_weathering,weathering_source,raw_component_sum_pct,valid_sum_flag,exclusion_reason,miss_SiO2,zero_SiO2,miss_Na2O,zero_Na2O,miss_K2O,zero_K2O,miss_CaO,zero_CaO,miss_MgO,zero_MgO,miss_Al2O3,zero_Al2O3,miss_Fe2O3,zero_Fe2O3,miss_CuO,zero_CuO,miss_PbO,zero_PbO,miss_BaO,zero_BaO,miss_P2O5,zero_P2O5,miss_SrO,zero_SrO,miss_SnO2,zero_SnO2,miss_SO2,zero_SO2
01,69.33,,9.99,6.32,0.87,3.93,1.74,3.87,,,1.17,,,0.39,01,表单2:2,C,高钾,蓝绿,无风化,无风化,artifact_inherited,97.61,True,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
02,36.28,,1.05,2.34,1.18,5.73,1.86,0.26,47.43,,3.57,0.19,,,02,表单2:3,A,铅钡,浅蓝,风化,风化,artifact_inherited,99.88999999999999,True,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
03部位1,87.05,,5.19,2.01,,4.06,,0.78,0.25,,0.66,,,,03,表单2:4,A,高钾,蓝绿,无风化,无风化,artifact_inherited,100.0,True,,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
03部位2,61.71,,12.37,5.87,1.11,5.5,2.16,5.09,1.41,2.86,0.7,0.1,,,03,表单2:5,A,高钾,蓝绿,无风化,无风化,artifact_inherited,98.88,True,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
04,65.88,,9.67,7.12,1.56,6.44,2.06,2.18,,,0.79,,,0.36,04,表单2:6,A,高钾,蓝绿,无风化,无风化,artifact_inherited,96.05999999999999,True,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
05,61.58,,10.95,7.35,1.77,7.5,2.62,3.27,,,0.94,0.06,,0.47,05,表单2:7,A,高钾,蓝绿,无风化,无风化,artifact_inherited,96.50999999999999,True,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
06部位1,67.65,,7.37,,1.98,11.15,2.39,2.51,0.2,1.38,4.18,0.11,,,06,表单2:8,A,高钾,蓝绿,无风化,无风化,artifact_inherited,98.92,True,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
06部位2,59.81,,7.68,5.41,1.73,10.05,6.04,2.18,0.35,0.97,4.5,0.12,,,06,表单2:9,A,高钾,蓝绿,无风化,无风化,artifact_inherited,98.84,True,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
07,92.63,,,1.07,,1.98,0.17,3.24,,,0.61,,,,07,表单2:10,B,高钾,蓝绿,风化,风化,artifact_inherited,99.69999999999999,True,,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0
08,20.14,,,1.48,,1.34,,10.41,28.68,31.23,3.59,0.37,,2.58,08,表单2:11,C,铅钡,紫,风化,风化,artifact_inherited,99.82000000000001,True,,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
