artifact_id,sample_point,point_weathering,glass_type,pc1,pc2
01,01,无风化,高钾,-0.9189454626317937,-0.22469648010731122
03,03部位1,无风化,高钾,0.04296483649859303,-0.17953619453184222
03,03部位2,无风化,高钾,-0.3210172441010871,0.6277591515373057
04,04,无风化,高钾,-0.999318568808313,0.03718373690661875
05,05,无风化,高钾,-1.270459567793622,-0.18110026099724258
06,06部位1,无风化,高钾,-1.1579518347239366,-1.4432000385621222
06,06部位2,无风化,高钾,-1.502637735373837,-1.5706370979095152
07,07,风化,高钾,1.1046033703450882,0.340086284703862
09,09,风化,高钾,2.3483490797913316,-0.6562540063730444
10,10,风化,高钾,2.7214328767334277,-1.1686172845461982
12,12,风化,高钾,2.206208067679744,0.14203114876017184
13,13,无风化,高钾,-1.4148953185952613,-0.31436648207949924
14,14,无风化,高钾,-0.38709963940643716,2.780752981836592
16,16,无风化,高钾,-1.8532852077328597,0.6492383017541976
18,18,无风化,高钾,-0.5414520599680817,-0.2893804385573771
21,21,无风化,高钾,-0.42474777817981485,0.076074577584714
22,22,风化,高钾,1.4332718530189998,0.4740041455831277
27,27,风化,高钾,0.9349803332478558,0.9006579549975687
02,02,风化,铅钡,-0.31340983866647176,1.7540440266728743
08,08,风化,铅钡,-1.0842944766351243,-2.249506326569998
08,08严重风化点,风化,铅钡,-2.225486970486269,-1.736182209697504
11,11,风化,铅钡,-1.7743243232691073,-0.6839968137519097
19,19,风化,铅钡,-1.7098244194974195,0.050193208553181115
20,20,无风化,铅钡,-0.9384584943921415,-0.4917382867927904
23,23未风化点,无风化,铅钡,0.09631013403252721,-1.1061747526469026
24,24,无风化,铅钡,2.1962173100426523,-2.913602492352448
25,25未风化点,无风化,铅钡,2.1694680899296306,-0.45417234800828493
26,26,风化,铅钡,-1.0713824500533007,-2.6295698327103283
26,26严重风化点,风化,铅钡,-2.085514959163727,-1.9701497330974986
28,28未风化点,无风化,铅钡,0.7404163968754324,1.4819518912661331
29,29未风化点,无风化,铅钡,1.421018616765894,1.7725296204246308
30,30部位1,无风化,铅钡,-0.3664132733954814,0.7686617208410377
30,30部位2,无风化,铅钡,0.04964819576286062,0.46932876582824223
31,31,无风化,铅钡,0.5148820025719537,1.4734074223520435
32,32,无风化,铅钡,2.7491989516863766,1.1752110211652316
33,33,无风化,铅钡,2.745909757215278,0.3571864601984718
34,34,风化,铅钡,1.3935794023613943,-1.0220615683898093
35,35,无风化,铅钡,1.8123088380450343,0.5544030954270806
36,36,风化,铅钡,2.9430910360331617,-1.0361566270918252
37,37,无风化,铅钡,0.43106743522813334,-0.6446704766736192
38,38,风化,铅钡,1.1742559815700768,-0.40590104104037406
39,39,风化,铅钡,0.17197788315194176,-0.901452862615911
40,40,风化,铅钡,-0.6131907240089758,-1.080464034324273
41,41,风化,铅钡,-1.28262298875714,1.7052555671901386
42,42未风化点1,无风化,铅钡,2.9482292307407953,-1.2421336281889335
42,42未风化点2,无风化,铅钡,-0.024538135119602084,-0.10289588684954831
43,43部位1,风化,铅钡,-1.1827412120593124,-1.1936069905178104
43,43部位2,风化,铅钡,-2.148560462537215,0.8244468746701381
44,44未风化点,无风化,铅钡,0.13311725359839086,1.8961224686741696
45,45,无风化,铅钡,0.17680651164972871,0.8784097337068212
46,46,无风化,铅钡,2.157857689840481,0.17940962362619
47,47,无风化,铅钡,2.8331529494143526,-0.3973073242798993
48,48,风化,铅钡,0.699149189401808,1.3682899110632116
49,49,风化,铅钡,-1.567251343288441,1.437715308492619
49,49未风化点,无风化,铅钡,-0.37453762322787343,1.7571696895119988
50,50,风化,铅钡,-1.659448761516089,-0.42584190908811975
50,50未风化点,无风化,铅钡,-1.1197762923230425,1.144223236975287
51,51部位1,风化,铅钡,-1.458531294362861,0.5678063694793295
51,51部位2,风化,铅钡,-1.7686947702556202,0.5329287015372324
52,52,风化,铅钡,-1.501799140075535,-0.06704559332375767
53,53未风化点,无风化,铅钡,0.3193323559777923,1.0355269568555323
54,54,风化,铅钡,-0.873150559619124,0.5326215119978979
54,54严重风化点,风化,铅钡,-1.9006472193682185,0.09042484540839857
55,55,无风化,铅钡,1.5216591916071127,-0.395930950642002
56,56,风化,铅钡,-0.27711151493966146,-0.19093623063402224
57,57,风化,铅钡,-0.36549774538222896,-0.4416777052516411
58,58,风化,铅钡,-1.7114454111028339,-0.024092407378681555
