glass_type,component,weathering,pct
高钾,SiO2,无风化,70.00555359216439
高钾,SiO2,无风化,83.90361445783132
高钾,SiO2,无风化,62.40898058252428
高钾,SiO2,无风化,67.55883710198431
高钾,SiO2,无风化,62.98455558964918
高钾,SiO2,无风化,65.0605885747259
高钾,SiO2,无风化,60.51193848644273
高钾,SiO2,风化,82.63157894736844
高钾,SiO2,风化,92.47688564476888
高钾,SiO2,风化,93.4659776887043
高钾,SiO2,风化,91.94539249146757
高钾,SiO2,无风化,60.054956238550794
高钾,SiO2,无风化,64.3456764690735
高钾,SiO2,无风化,66.82386713143327
高钾,SiO2,无风化,75.69060773480663
高钾,SiO2,无风化,70.98356861837539
高钾,SiO2,风化,90.70372734862254
高钾,SiO2,风化,84.25644054704892
高钾,K2O,无风化,10.08734285858535
高钾,K2O,无风化,5.002409638554218
高钾,K2O,无风化,12.510113268608414
高钾,K2O,无风化,9.916423114392657
高钾,K2O,无风化,11.199754525928201
高钾,K2O,无风化,7.087901519522983
高钾,K2O,无风化,7.7701335491703745
高钾,K2O,风化,8.40321141837645
高钾,K2O,风化,0.5742092457420925
高钾,K2O,风化,0.8885884000579514
高钾,K2O,风化,0.9848854217454899
高钾,K2O,无风化,12.751882760024428
高钾,K2O,无风化,12.648709893392388
高钾,K2O,无风化,14.886200533114621
高钾,K2O,无风化,8.973137740522006
高钾,K2O,无风化,8.720203656560981
高钾,K2O,风化,0.7268084270490599
高钾,K2O,风化,8.56013449043573
高钾,CaO,无风化,6.381582268894837
高钾,CaO,无风化,1.9373493975903613
高钾,CaO,无风化,5.936488673139159
高钾,CaO,无风化,7.301440803978874
高钾,CaO,无风化,7.51764344891071
高钾,CaO,无风化,4.86632044623966
高钾,CaO,无风化,5.473492513152569
高钾,CaO,风化,0.9545049063336308
高钾,CaO,风化,0.6034063260340634
高钾,CaO,风化,0.20282996088279323
高钾,CaO,风化,0.7020965382740125
高钾,CaO,无风化,8.854060655404032
高钾,CaO,无风化,8.477107689138384
高钾,CaO,无风化,8.478572893172032
高钾,CaO,无风化,4.819965707753859
高钾,CaO,无风化,4.360101828280491
高钾,CaO,风化,1.6304080931100533
高钾,CaO,风化,0.8541960107228861
高钾,Al2O3,无风化,3.9682940374615048
高钾,Al2O3,无风化,3.9132530120481923
高钾,Al2O3,无风化,5.562297734627832
高钾,Al2O3,无风化,6.604112187868534
高钾,Al2O3,无风化,7.671064743786439
高钾,Al2O3,无风化,10.723216003077512
高钾,Al2O3,无风化,10.16794819910967
高钾,Al2O3,风化,1.7662801070472796
高钾,Al2O3,风化,1.2846715328467158
高钾,Al2O3,风化,0.7823441348336312
高钾,Al2O3,风化,1.4236957581667478
高钾,Al2O3,无风化,6.269082027274579
高钾,Al2O3,无风化,9.507132924756657
高钾,Al2O3,无风化,6.335862210375232
高钾,Al2O3,无风化,2.905315298152029
高钾,Al2O3,无风化,5.7301550566998385
高钾,Al2O3,风化,3.43760742523204
高钾,Al2O3,风化,2.2808850924621744
铅钡,SiO2,风化,31.333937902146225
铅钡,SiO2,风化,19.140847747576505
铅钡,SiO2,风化,4.44808954071787
铅钡,SiO2,风化,32.55633632178338
铅钡,SiO2,风化,28.009828009828013
铅钡,SiO2,无风化,37.95397978361355
铅钡,SiO2,无风化,51.515586840971125
铅钡,SiO2,无风化,29.590513248100798
铅钡,SiO2,无风化,49.40694098696735
铅钡,SiO2,风化,18.80821136666033
铅钡,SiO2,风化,3.5423510927010424
铅钡,SiO2,无风化,64.81648974151472
铅钡,SiO2,无风化,60.87709174841316
铅钡,SiO2,无风化,31.886345698500396
铅钡,SiO2,无风化,34.780561310981355
铅钡,SiO2,无风化,62.479855910512846
铅钡,SiO2,无风化,65.26236951738989
铅钡,SiO2,无风化,69.84229755353097
铅钡,SiO2,风化,33.97749394615641
铅钡,SiO2,无风化,62.987385321100916
铅钡,SiO2,风化,38.5184464129271
铅钡,SiO2,无风化,57.19994291422863
铅钡,SiO2,风化,31.68021549858099
铅钡,SiO2,风化,24.346132442960496
铅钡,SiO2,风化,15.545632151828078
铅钡,SiO2,风化,18.369073088213348
铅钡,SiO2,无风化,49.7138977790709
铅钡,SiO2,无风化,47.624791241417704
铅钡,SiO2,风化,11.900652090525506
铅钡,SiO2,风化,20.919695362961534
铅钡,SiO2,无风化,56.893967778194074
铅钡,SiO2,无风化,57.822230609548974
铅钡,SiO2,无风化,50.98582444475227
铅钡,SiO2,无风化,50.35169988276671
铅钡,SiO2,风化,51.43215353457421
铅钡,SiO2,风化,28.071372854914202
铅钡,SiO2,无风化,51.997143537253045
铅钡,SiO2,风化,18.492234906921734
铅钡,SiO2,无风化,42.87619047619048
铅钡,SiO2,风化,24.139283962726832
铅钡,SiO2,风化,19.72468588322247
铅钡,SiO2,风化,26.14392361992789
铅钡,SiO2,无风化,60.118991406176214
铅钡,SiO2,风化,20.73426085338049
铅钡,SiO2,风化,14.755087961365989
铅钡,SiO2,无风化,47.524848484848484
铅钡,SiO2,风化,28.67119110848824
