glass_type,component,observed,estimated,abs_change
铅钡,Al2O3,2.9699999999999998,4.203874571465403,1.2338745714654031
铅钡,BaO,13.347391304347827,9.575312944095767,3.77207836025206
铅钡,CaO,2.8032,1.4802769145969243,1.3229230854030756
铅钡,CuO,2.4654166666666666,1.5800801897484216,0.885336476918245
铅钡,Fe2O3,0.9500000000000001,1.2265660235629061,0.27656602356290605
铅钡,K2O,0.3855555555555556,0.25939696244782484,0.12615859310773075
铅钡,MgO,1.1266666666666665,1.003360590710197,0.12330607595646947
铅钡,Na2O,1.405,3.0425255769265394,1.6375255769265393
铅钡,P2O5,5.717083333333334,1.4048904092774914,4.312192924055843
铅钡,PbO,43.31384615384616,20.318280856170393,22.995565297675764
铅钡,SO2,8.879999999999999,4.4190386103460355,4.4609613896539635
铅钡,SiO2,24.912692307692307,50.67013215468081,25.7574398469885
铅钡,SnO2,0.89,0.410762025617284,0.47923797438271604
铅钡,SrO,0.4730434782608696,0.4055021703539952,0.0675413079068744
高钾,Al2O3,1.93,6.071874757269523,4.141874757269523
高钾,BaO,,1.2451412769807935,
高钾,CaO,0.87,6.63016675610531,5.76016675610531
高钾,CuO,1.5616666666666668,2.218310159941804,0.6566434932751373
高钾,Fe2O3,0.265,1.5894380041755045,1.3244380041755046
高钾,K2O,0.815,15.514579372191724,14.699579372191725
高钾,MgO,0.5900000000000001,1.1664959319335375,0.5764959319335374
高钾,P2O5,0.33599999999999997,1.029820574140414,0.6938205741404141
高钾,PbO,,0.39252130612266795,
高钾,SiO2,93.96333333333332,64.06805392786316,29.895279405470163
高钾,SrO,,0.07359793327556179,
