repeat_id,outer_fold,artifact_id,true_label,model,point_probability_mean,artifact_probability,predicted_label,threshold,n_points
0,2,06,0,Logistic,0.04680215163260698,0.04680215163260698,0,0.7500000000000002,2
0,0,14,0,Logistic,0.048717686870675236,0.048717686870675236,0,0.44000000000000006,1
0,4,31,1,Logistic,0.05237574556538952,0.05237574556538952,0,0.6200000000000001,1
0,0,24,1,Logistic,0.09559730406766817,0.09559730406766817,0,0.44000000000000006,1
0,2,03,0,Logistic,0.11729390517591921,0.11729390517591921,0,0.7500000000000002,2
0,0,01,0,Logistic,0.11734570418188855,0.11734570418188855,0,0.44000000000000006,1
0,0,18,0,Logistic,0.12222944978705132,0.12222944978705132,0,0.44000000000000006,1
0,4,05,0,Logistic,0.1427038494262748,0.1427038494262748,0,0.6200000000000001,1
0,0,21,0,Logistic,0.14398049909770821,0.14398049909770821,0,0.44000000000000006,1
0,4,13,0,Logistic,0.14927564841904578,0.14927564841904578,0,0.6200000000000001,1
0,4,55,1,Logistic,0.27056182418617764,0.27056182418617764,0,0.6200000000000001,1
0,0,29,1,Logistic,0.31213294087402604,0.31213294087402604,0,0.44000000000000006,1
0,4,12,0,Logistic,0.34216108991219296,0.34216108991219296,0,0.6200000000000001,1
0,3,16,0,Logistic,0.3769229993107327,0.3769229993107327,0,0.51,1
0,3,04,0,Logistic,0.4540765232574329,0.4540765232574329,0,0.51,1
0,3,35,1,Logistic,0.4602957561688193,0.4602957561688193,0,0.51,1
0,3,49,1,Logistic,0.5160945322828181,0.5160945322828181,1,0.51,2
0,3,32,1,Logistic,0.5196584620081754,0.5196584620081754,1,0.51,1
0,3,41,1,Logistic,0.5198135023405437,0.5198135023405437,1,0.51,1
0,3,43,1,Logistic,0.5207426270919413,0.5207426270919413,1,0.51,2
0,3,07,0,Logistic,0.5226805109809969,0.5226805109809969,1,0.51,1
0,3,52,1,Logistic,0.5251449831497254,0.5251449831497254,1,0.51,1
0,3,51,1,Logistic,0.5254822968262562,0.5254822968262562,1,0.51,2
0,3,36,1,Logistic,0.5409839029529917,0.5409839029529917,1,0.51,1
0,0,02,1,Logistic,0.5760768254307274,0.5760768254307274,1,0.44000000000000006,1
0,0,38,1,Logistic,0.5995903166723933,0.5995903166723933,1,0.44000000000000006,1
0,2,44,1,Logistic,0.6998447455912264,0.6998447455912264,0,0.7500000000000002,1
0,2,20,1,Logistic,0.7489471568969776,0.7489471568969776,0,0.7500000000000002,1
0,0,37,1,Logistic,0.7534810169790709,0.7534810169790709,1,0.44000000000000006,1
0,2,33,1,Logistic,0.7694562365844932,0.7694562365844932,1,0.7500000000000002,1
0,1,28,1,Logistic,0.7852005010829447,0.7852005010829447,1,0.5,1
0,4,45,1,Logistic,0.7861440735688016,0.7861440735688016,1,0.6200000000000001,1
0,2,09,0,Logistic,0.7882179326891207,0.7882179326891207,1,0.7500000000000002,1
0,1,30,1,Logistic,0.7905713758316286,0.7905713758316286,1,0.5,2
0,2,25,1,Logistic,0.8205048158523914,0.8205048158523914,1,0.7500000000000002,1
0,4,53,1,Logistic,0.8268584321444767,0.8268584321444767,1,0.6200000000000001,1
0,1,48,1,Logistic,0.8335394560832066,0.8335394560832066,1,0.5,1
0,1,46,1,Logistic,0.85255768108484,0.85255768108484,1,0.5,1
0,0,23,1,Logistic,0.871606610229124,0.871606610229124,1,0.44000000000000006,1
0,1,58,1,Logistic,0.8856181330940346,0.8856181330940346,1,0.5,1
0,2,11,1,Logistic,0.8908213924977549,0.8908213924977549,1,0.7500000000000002,1
0,2,34,1,Logistic,0.8936576690721403,0.8936576690721403,1,0.7500000000000002,1
0,0,19,1,Logistic,0.8949601690486175,0.8949601690486175,1,0.44000000000000006,1
0,2,56,1,Logistic,0.899824407165032,0.899824407165032,1,0.7500000000000002,1
0,1,22,0,Logistic,0.9047648176814621,0.9047648176814621,1,0.5,1
0,1,47,1,Logistic,0.911113802116404,0.911113802116404,1,0.5,1
0,1,54,1,Logistic,0.9154525790050404,0.9154525790050404,1,0.5,2
0,1,40,1,Logistic,0.927563886432034,0.927563886432034,1,0.5,1
0,1,10,0,Logistic,0.939787998172659,0.939787998172659,1,0.5,1
0,4,50,1,Logistic,0.9414836957499884,0.9414836957499884,1,0.6200000000000001,2
0,1,27,0,Logistic,0.9465483478809388,0.9465483478809388,1,0.5,1
0,2,26,1,Logistic,0.9503841194186369,0.9503841194186369,1,0.7500000000000002,2
0,4,42,1,Logistic,0.9526650395314287,0.9526650395314287,1,0.6200000000000001,2
0,4,57,1,Logistic,0.9633980123772623,0.9633980123772623,1,0.6200000000000001,1
0,4,39,1,Logistic,0.9942916420508277,0.9942916420508277,1,0.6200000000000001,1
0,0,08,1,Logistic,0.9959098915782257,0.9959098915782257,1,0.44000000000000006,2
