fpr,tpr,panel,predicted_probability,observed_frequency
0.0,0.0,roc,,
0.0,0.00125,roc,,
0.0,0.2375,roc,,
0.009375,0.2375,roc,,
0.009375,0.26125,roc,,
0.0125,0.26125,roc,,
0.0125,0.26375,roc,,
0.015625,0.26375,roc,,
0.015625,0.265,roc,,
0.01875,0.265,roc,,
0.01875,0.28375,roc,,
0.021875,0.28375,roc,,
0.021875,0.30875,roc,,
0.025,0.30875,roc,,
0.025,0.31,roc,,
0.028125,0.31,roc,,
0.028125,0.31125,roc,,
0.03125,0.31125,roc,,
0.03125,0.3125,roc,,
0.034375,0.3125,roc,,
0.034375,0.33,roc,,
0.0375,0.33,roc,,
0.0375,0.33875,roc,,
0.040625,0.33875,roc,,
0.040625,0.34625,roc,,
0.04375,0.34625,roc,,
0.04375,0.35,roc,,
0.046875,0.35,roc,,
0.046875,0.355,roc,,
0.05,0.355,roc,,
0.05,0.3675,roc,,
0.053125,0.3675,roc,,
0.053125,0.3925,roc,,
0.05625,0.3925,roc,,
0.05625,0.395,roc,,
0.0625,0.395,roc,,
0.0625,0.39875,roc,,
0.065625,0.39875,roc,,
0.065625,0.40125,roc,,
0.06875,0.40125,roc,,
0.06875,0.4025,roc,,
0.071875,0.4025,roc,,
0.071875,0.41375,roc,,
0.075,0.41375,roc,,
0.075,0.43375,roc,,
0.078125,0.43375,roc,,
0.078125,0.44375,roc,,
0.08125,0.44375,roc,,
0.08125,0.455,roc,,
0.084375,0.455,roc,,
0.084375,0.46625,roc,,
0.0875,0.46625,roc,,
0.0875,0.47625,roc,,
0.090625,0.47625,roc,,
0.090625,0.4825,roc,,
0.09375,0.4825,roc,,
0.09375,0.4875,roc,,
0.096875,0.4875,roc,,
0.096875,0.49375,roc,,
0.1,0.49375,roc,,
0.1,0.50625,roc,,
0.103125,0.50625,roc,,
0.103125,0.51625,roc,,
0.10625,0.51625,roc,,
0.10625,0.5175,roc,,
0.1125,0.5175,roc,,
0.1125,0.51875,roc,,
0.11875,0.51875,roc,,
0.11875,0.52,roc,,
0.121875,0.52,roc,,
0.121875,0.52125,roc,,
0.125,0.52125,roc,,
0.125,0.52625,roc,,
0.128125,0.52625,roc,,
0.128125,0.52875,roc,,
0.13125,0.52875,roc,,
0.13125,0.55125,roc,,
0.134375,0.55125,roc,,
0.134375,0.55375,roc,,
0.1375,0.55375,roc,,
0.1375,0.555,roc,,
0.140625,0.555,roc,,
0.140625,0.5775,roc,,
0.14375,0.5775,roc,,
0.14375,0.58625,roc,,
0.15,0.58625,roc,,
0.15,0.5975,roc,,
0.153125,0.5975,roc,,
0.153125,0.605,roc,,
0.15625,0.605,roc,,
0.15625,0.60625,roc,,
0.159375,0.60625,roc,,
0.159375,0.6125,roc,,
0.1625,0.6125,roc,,
0.1625,0.615,roc,,
0.165625,0.615,roc,,
0.165625,0.62125,roc,,
0.16875,0.62125,roc,,
0.16875,0.6275,roc,,
0.171875,0.6275,roc,,
0.171875,0.63,roc,,
0.175,0.63,roc,,
0.175,0.63125,roc,,
0.18125,0.63125,roc,,
0.18125,0.6325,roc,,
0.184375,0.6325,roc,,
0.184375,0.6425,roc,,
0.1875,0.6425,roc,,
0.1875,0.66625,roc,,
0.190625,0.66625,roc,,
0.190625,0.6675,roc,,
0.19375,0.6675,roc,,
0.19375,0.67875,roc,,
0.196875,0.67875,roc,,
0.196875,0.695,roc,,
0.2,0.695,roc,,
0.2,0.705,roc,,
0.203125,0.705,roc,,
0.203125,0.7075,roc,,
0.20625,0.7075,roc,,
0.20625,0.71,roc,,
0.209375,0.71,roc,,
0.209375,0.73625,roc,,
0.2125,0.73625,roc,,
0.2125,0.74125,roc,,
0.215625,0.74125,roc,,
0.215625,0.7425,roc,,
0.21875,0.7425,roc,,
0.21875,0.75375,roc,,
0.221875,0.75375,roc,,
0.221875,0.7675,roc,,
0.225,0.7675,roc,,
0.225,0.77375,roc,,
0.228125,0.77375,roc,,
0.228125,0.77875,roc,,
0.23125,0.77875,roc,,
0.23125,0.7825,roc,,
0.2375,0.7825,roc,,
0.2375,0.78625,roc,,
0.240625,0.78625,roc,,
0.240625,0.79,roc,,
0.24375,0.79,roc,,
0.24375,0.8,roc,,
0.246875,0.8,roc,,
0.246875,0.8025,roc,,
0.25,0.8025,roc,,
0.25,0.81,roc,,
0.253125,0.81,roc,,
0.253125,0.8125,roc,,
0.25625,0.8125,roc,,
0.25625,0.815,roc,,
0.259375,0.815,roc,,
0.259375,0.82375,roc,,
0.2625,0.82375,roc,,
0.2625,0.8275,roc,,
0.265625,0.8275,roc,,
0.265625,0.83125,roc,,
0.26875,0.83125,roc,,
0.26875,0.8325,roc,,
0.275,0.8325,roc,,
0.275,0.8475,roc,,
0.278125,0.8475,roc,,
0.278125,0.84875,roc,,
0.28125,0.84875,roc,,
0.28125,0.855,roc,,
0.284375,0.855,roc,,
0.284375,0.85625,roc,,
0.29375,0.85625,roc,,
0.29375,0.86,roc,,
0.309375,0.86,roc,,
0.309375,0.8675,roc,,
0.3125,0.8675,roc,,
0.3125,0.87,roc,,
0.315625,0.87,roc,,
0.315625,0.8775,roc,,
0.31875,0.8775,roc,,
0.31875,0.88,roc,,
0.321875,0.88,roc,,
0.321875,0.88125,roc,,
0.325,0.88125,roc,,
0.325,0.88875,roc,,
0.3625,0.88875,roc,,
0.3625,0.89,roc,,
0.384375,0.89,roc,,
0.384375,0.89125,roc,,
0.403125,0.89125,roc,,
0.403125,0.89375,roc,,
0.40625,0.89375,roc,,
0.40625,0.895,roc,,
0.4125,0.895,roc,,
0.4125,0.90125,roc,,
0.421875,0.90125,roc,,
0.421875,0.9025,roc,,
0.428125,0.9025,roc,,
0.428125,0.90375,roc,,
0.43125,0.90375,roc,,
0.43125,0.905,roc,,
0.434375,0.905,roc,,
0.434375,0.90625,roc,,
0.440625,0.90625,roc,,
0.440625,0.9075,roc,,
0.44375,0.9075,roc,,
0.44375,0.90875,roc,,
0.446875,0.90875,roc,,
0.446875,0.91125,roc,,
0.46875,0.91125,roc,,
0.46875,0.9125,roc,,
0.471875,0.9125,roc,,
0.471875,0.91375,roc,,
0.475,0.91375,roc,,
0.475,0.915,roc,,
