glass_type,artifact_i,artifact_j,co_cluster_frequency,n_joint_resamples,k,stable_subclass_supported
高钾,01,01,1.0,630,2,0
高钾,01,03,0.9485294117647058,408,2,0
高钾,01,04,0.9873417721518988,395,2,0
高钾,01,05,0.9876237623762376,404,2,0
高钾,01,06,0.9067599067599068,429,2,0
高钾,01,07,0.5792079207920792,404,2,0
高钾,01,09,0.17232375979112272,383,2,0
高钾,01,10,0.20654911838790932,397,2,0
高钾,01,12,0.21549636803874092,413,2,0
高钾,01,13,0.9950617283950617,405,2,0
高钾,01,14,0.5809018567639257,377,2,0
高钾,01,16,0.7093596059113301,406,2,0
高钾,01,18,0.7989556135770235,383,2,0
高钾,01,21,0.9625935162094763,401,2,0
高钾,01,22,0.22911694510739858,419,2,0
高钾,01,27,0.4900990099009901,404,2,0
高钾,03,01,0.9485294117647058,408,2,0
高钾,03,03,1.0,630,2,0
高钾,03,04,0.9757869249394673,413,2,0
高钾,03,05,0.9489795918367347,392,2,0
高钾,03,06,0.8567901234567902,405,2,0
高钾,03,07,0.7178217821782178,404,2,0
高钾,03,09,0.21899736147757257,379,2,0
高钾,03,10,0.24489795918367346,392,2,0
高钾,03,12,0.24047619047619048,420,2,0
高钾,03,13,0.935251798561151,417,2,0
高钾,03,14,0.6881443298969072,388,2,0
高钾,03,16,0.8170731707317073,410,2,0
高钾,03,18,0.8586666666666667,375,2,0
高钾,03,21,0.9715762273901809,387,2,0
高钾,03,22,0.26044226044226043,407,2,0
高钾,03,27,0.6467661691542289,402,2,0
高钾,04,01,0.9873417721518988,395,2,0
高钾,04,03,0.9757869249394673,413,2,0
高钾,04,04,1.0,635,2,0
高钾,04,05,1.0,407,2,0
高钾,04,06,0.8983451536643026,423,2,0
高钾,04,07,0.5714285714285714,406,2,0
高钾,04,09,0.18882978723404256,376,2,0
高钾,04,10,0.20151133501259447,397,2,0
高钾,04,12,0.2087378640776699,412,2,0
高钾,04,13,0.9949748743718593,398,2,0
高钾,04,14,0.6352040816326531,392,2,0
高钾,04,16,0.75177304964539,423,2,0
高钾,04,18,0.8015267175572519,393,2,0
高钾,04,21,0.9806295399515739,413,2,0
高钾,04,22,0.24378109452736318,402,2,0
高钾,04,27,0.5170731707317073,410,2,0
高钾,05,01,0.9876237623762376,404,2,0
高钾,05,03,0.9489795918367347,392,2,0
高钾,05,04,1.0,407,2,0
高钾,05,05,1.0,630,2,0
高钾,05,06,0.9133489461358314,427,2,0
高钾,05,07,0.5481481481481482,405,2,0
高钾,05,09,0.15425531914893617,376,2,0
高钾,05,10,0.20822622107969152,389,2,0
高钾,05,12,0.1825,400,2,0
高钾,05,13,0.9974747474747475,396,2,0
高钾,05,14,0.6236842105263158,380,2,0
高钾,05,16,0.7301980198019802,404,2,0
高钾,05,18,0.7868421052631579,380,2,0
高钾,05,21,0.9778869778869779,407,2,0
高钾,05,22,0.24120603015075376,398,2,0
高钾,05,27,0.5113924050632911,395,2,0
