artifact_id,glass_type,subclass_label,exploratory_label,selected_k,stable_subclass_supported,assignment_frequency,second_best_frequency,boundary_flag,n_points
01,高钾,NO_STABLE_SUBCLASS,高钾-探索组2,2,0,0.9314641744548287,0.06853582554517133,0,1
03,高钾,NO_STABLE_SUBCLASS,高钾-探索组2,2,0,0.9190283400809717,0.08097165991902834,0,2
04,高钾,NO_STABLE_SUBCLASS,高钾-探索组2,2,0,0.9348268839103869,0.06517311608961303,0,1
05,高钾,NO_STABLE_SUBCLASS,高钾-探索组2,2,0,0.9454365079365079,0.054563492063492064,0,1
06,高钾,NO_STABLE_SUBCLASS,高钾-探索组2,2,0,0.849609375,0.150390625,0,2
07,高钾,NO_STABLE_SUBCLASS,高钾-探索组2,2,0,0.6129685916919959,0.38703140830800403,1,1
09,高钾,NO_STABLE_SUBCLASS,高钾-探索组1,2,0,0.9036796536796536,0.09632034632034632,0,1
10,高钾,NO_STABLE_SUBCLASS,高钾-探索组1,2,0,0.8408342480790341,0.15916575192096596,0,1
12,高钾,NO_STABLE_SUBCLASS,高钾-探索组1,2,0,0.8805496828752643,0.11945031712473574,0,1
13,高钾,NO_STABLE_SUBCLASS,高钾-探索组2,2,0,0.9360341151385928,0.06396588486140725,0,1
14,高钾,NO_STABLE_SUBCLASS,高钾-探索组2,2,0,0.6306695464362851,0.3693304535637149,1,1
16,高钾,NO_STABLE_SUBCLASS,高钾-探索组2,2,0,0.7799188640973631,0.22008113590263692,1,1
18,高钾,NO_STABLE_SUBCLASS,高钾-探索组2,2,0,0.7935267857142857,0.20647321428571427,1,1
21,高钾,NO_STABLE_SUBCLASS,高钾-探索组2,2,0,0.9087179487179488,0.09128205128205129,0,1
22,高钾,NO_STABLE_SUBCLASS,高钾-探索组1,2,0,0.8190954773869347,0.18090452261306533,0,1
27,高钾,NO_STABLE_SUBCLASS,高钾-探索组2,2,0,0.5397667020148462,0.4602332979851538,1,1
02,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组3,6,0,0.8309278350515464,0.06804123711340206,0,1
08,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组4,6,0,0.8706225680933852,0.08949416342412451,0,2
11,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组6,6,0,0.48904267589388695,0.16493656286043828,1,1
19,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组6,6,0,0.6254002134471718,0.18569903948772679,1,1
20,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组5,6,0,0.33696837513631406,0.173391494002181,1,1
23,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组5,6,0,0.46652267818574517,0.19870410367170627,1,1
24,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组4,6,0,0.6069868995633187,0.2019650655021834,1,1
25,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组5,6,0,0.4824945295404814,0.2527352297592998,1,1
26,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组4,6,0,0.9066666666666666,0.057435897435897436,0,2
28,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组2,6,0,0.7618556701030927,0.17938144329896907,1,1
29,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组2,6,0,0.8755411255411255,0.08658008658008658,0,1
30,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组3,6,0,0.5688367129135539,0.19423692636072573,1,2
31,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组3,6,0,0.4794238683127572,0.2788065843621399,1,1
32,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组1,6,0,0.6975982532751092,0.12008733624454149,1,1
33,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组1,6,0,0.7296181630546955,0.1197110423116615,1,1
34,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组5,6,0,0.7728706624605678,0.1167192429022082,1,1
35,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组1,6,0,0.5136986301369864,0.16552511415525115,1,1
36,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组5,6,0,0.7178683385579937,0.12434691745036573,1,1
37,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组5,6,0,0.41361256544502617,0.22303664921465968,1,1
38,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组5,6,0,0.6736493936052922,0.14994487320837926,1,1
39,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组5,6,0,0.4244120940649496,0.22732362821948487,1,1
40,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组6,6,0,0.43344334433443343,0.19141914191419143,1,1
41,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组3,6,0,0.7049009384775808,0.15224191866527634,1,1
42,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组5,6,0,0.36972972972972973,0.26594594594594595,1,2
43,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组6,6,0,0.7287958115183246,0.11099476439790576,1,2
44,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组2,6,0,0.7898706896551724,0.17025862068965517,1,1
45,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组1,6,0,0.5821052631578948,0.2831578947368421,1,1
46,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组1,6,0,0.6469298245614035,0.125,1,1
47,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组1,6,0,0.5904860392967942,0.23371251292657705,1,1
48,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组2,6,0,0.8517745302713987,0.11691022964509394,0,1
49,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组3,6,0,0.4796926454445664,0.20636663007683864,1,2
50,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组6,6,0,0.54,0.3211111111111111,1,2
51,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组6,6,0,0.6084142394822006,0.26105717367853293,1,2
52,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组6,6,0,0.4487594390507012,0.36245954692556637,1,1
53,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组1,6,0,0.5758880516684607,0.3143164693218515,1,1
54,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组6,6,0,0.6263383297644539,0.1841541755888651,1,2
55,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组5,6,0,0.5959390862944163,0.2416243654822335,1,1
56,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组5,6,0,0.6663244353182751,0.16427104722792607,1,1
57,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组5,6,0,0.6124721603563474,0.22048997772828507,1,1
58,铅钡,NO_STABLE_SUBCLASS,铅钡-探索组6,6,0,0.6972677595628415,0.11584699453551912,1,1
