glass_type,variable_cluster,component,representative_flag,detection_rate,robust_mad,selection_reason
高钾,1,MgO,0,0.6666666666666666,0.3794117448146075,redundant_within_R_cluster
高钾,1,Al2O3,1,1.0,0.4045586753304564,highest_detection_then_robust_MAD_then_fixed_component_order
高钾,2,SiO2,1,1.0,0.46092664355025637,highest_detection_then_robust_MAD_then_fixed_component_order
高钾,2,CaO,0,0.8888888888888888,0.5708488855416896,redundant_within_R_cluster
高钾,2,Fe2O3,0,0.8888888888888888,0.5309354579996886,redundant_within_R_cluster
高钾,2,PbO,0,0.3888888888888889,0.4423335120016174,redundant_within_R_cluster
高钾,2,BaO,0,0.2777777777777778,0.35561488755605253,redundant_within_R_cluster
高钾,2,SrO,0,0.3333333333333333,0.31724854041346795,redundant_within_R_cluster
高钾,3,K2O,1,0.8333333333333334,0.4630245581528416,highest_detection_then_robust_MAD_then_fixed_component_order
高钾,4,P2O5,1,0.8888888888888888,0.2774016578381837,highest_detection_then_robust_MAD_then_fixed_component_order
高钾,5,CuO,1,0.9444444444444444,0.3379333793709165,highest_detection_then_robust_MAD_then_fixed_component_order
铅钡,1,Na2O,0,0.2857142857142857,0.2168847112019836,redundant_within_R_cluster
铅钡,1,CaO,1,0.9183673469387755,0.4720826489577117,highest_detection_then_robust_MAD_then_fixed_component_order
铅钡,2,SiO2,1,1.0,0.4567108043154944,highest_detection_then_robust_MAD_then_fixed_component_order
铅钡,2,MgO,0,0.6122448979591837,0.24534052266199247,redundant_within_R_cluster
铅钡,2,P2O5,0,0.8367346938775511,0.9570517831397827,redundant_within_R_cluster
铅钡,2,SnO2,0,0.10204081632653061,0.1893059517041371,redundant_within_R_cluster
铅钡,2,SO2,0,0.10204081632653061,0.20059885221081775,redundant_within_R_cluster
铅钡,3,Al2O3,1,1.0,0.3415256417752477,highest_detection_then_robust_MAD_then_fixed_component_order
铅钡,3,PbO,0,1.0,0.2927992620154507,redundant_within_R_cluster
铅钡,4,SrO,1,0.8163265306122449,0.2564414493911542,highest_detection_then_robust_MAD_then_fixed_component_order
铅钡,5,CuO,1,0.9183673469387755,0.5692017713034041,highest_detection_then_robust_MAD_then_fixed_component_order
铅钡,6,BaO,1,0.9387755102040817,0.3133677304925584,highest_detection_then_robust_MAD_then_fixed_component_order
铅钡,7,Fe2O3,1,0.5510204081632653,0.21774358424457008,highest_detection_then_robust_MAD_then_fixed_component_order
铅钡,8,K2O,1,0.4897959183673469,0.18788714532675477,highest_detection_then_robust_MAD_then_fixed_component_order
