component_j,component_k,rho_high_k,rho_lead_barium,delta,delta_ci_low,delta_ci_high,permutation_p,p_fdr,effect_pass,direction_frequency,core_differential_edge,permutation_success
SiO2,K2O,-0.21925227033441638,-0.33158692082262853,0.11233465048821215,-0.07511480619847463,0.2680128374010237,0.5796420357964204,0.7646927614930815,0,0.8942917547568711,0,10000
SiO2,CaO,-0.23422806816060862,-0.4460231200077609,0.21179505184715228,-0.01163500301551483,0.36604358029502027,0.47965203479652035,0.7337266273372662,1,0.9693446088794926,0,10000
SiO2,MgO,-0.17465530198531504,-0.05694306116617103,-0.117712240819144,-0.4981309770756358,0.24890696887976982,0.6315368463153684,0.7646927614930815,0,0.741014799154334,0,10000
SiO2,Al2O3,-0.3477859069619176,0.41951212471020916,-0.7672980316721267,-0.9486933419326912,-0.5501649104552011,0.0004999500049995,0.011248875112488751,1,1.0,1,10000
SiO2,Fe2O3,-0.21443155859411073,0.0456663893734129,-0.2600979479675236,-0.5466544400778802,0.05327548967048543,0.37606239376062395,0.6267706562677066,1,0.9397463002114165,0,10000
SiO2,CuO,-0.18648899285143702,-0.362441892930797,0.17595290007935996,-0.20865069167339967,0.5083522783872354,0.6458354164583542,0.7646927614930815,0,0.813953488372093,0,10000
SiO2,PbO,-0.062020771117241705,-0.7055669356615732,0.6435461645443316,0.40024567824594653,0.9013312441773003,0.0011998800119988001,0.017998200179982004,1,1.0,1,10000
SiO2,P2O5,-0.1948243401541799,-0.3259701582964513,0.13114581814227141,-0.06854545634782301,0.33169663587267756,0.3691630836916308,0.6267706562677066,0,0.9038054968287527,0,10000
SiO2,SrO,0.0646802234559964,-0.4877486644987463,0.5524288879547428,0.018015278293251565,0.8488282600493393,0.027697230276972302,0.15579692030796918,1,0.9799154334038055,0,10000
K2O,CaO,0.7838937050043646,0.3865719473744262,0.39732175762993843,-0.05743383229874824,0.6627945840907399,0.1772822717728227,0.44320567943205674,1,0.9704016913319239,0,10000
K2O,MgO,0.022362902011405287,0.11692496706473837,-0.09456206505333309,-0.5149025024605466,0.3016658515069268,0.628937106289371,0.7646927614930815,0,0.6659619450317125,0,10000
K2O,Al2O3,0.6639109519424905,0.05813050064840825,0.6057804512940822,0.17388228480498963,0.9077940265551074,0.013998600139986002,0.08999100089991001,1,0.9936575052854123,0,10000
K2O,Fe2O3,0.5072742335995292,0.26588601062544126,0.2413882229740879,-0.19391544791335744,0.603387787467697,0.20957904209579042,0.49516476923736197,1,0.8710359408033826,0,10000
K2O,CuO,0.39240301366192387,0.07008901038048176,0.3223140032814421,-0.20195275336438911,0.7537370288700539,0.1531846815318468,0.44320567943205674,1,0.8816067653276956,0,10000
K2O,PbO,0.07643555648478238,0.21972297718244388,-0.14328742069766148,-0.6186225429940697,0.25110378160980407,0.640935906409359,0.7646927614930815,0,0.8435517970401691,0,10000
K2O,P2O5,0.45825341411542597,0.16231003371391053,0.29594338040151547,-0.24688239911546303,0.6251983229072632,0.2546745325467453,0.5196080391960803,1,0.9059196617336153,0,10000
K2O,SrO,-0.08243827079172827,0.1011734097347186,-0.18361168052644689,-0.5317742500131567,0.15254065753468724,0.4891510848915108,0.7337266273372662,0,0.8435517970401691,0,10000
CaO,MgO,0.089243465044645,0.10164892188293134,-0.012405456838286338,-0.33834172646217053,0.37566850499941895,0.9502049795020497,0.9502049795020497,0,0.49682875264270615,0,10000
CaO,Al2O3,0.8448971677915396,0.34368271520337246,0.5012144525881671,0.28089835156280274,0.7186045260676664,0.06419358064193581,0.32096790320967905,1,0.9989429175475687,0,10000
CaO,Fe2O3,0.745490415962447,0.30820267967781473,0.4372877362846323,0.0925209466106728,0.7534590797727305,0.16848315168483152,0.44320567943205674,1,0.992600422832981,0,10000
CaO,CuO,0.28776805930493743,0.1763742044727313,0.11139385483220612,-0.42397318416199586,0.5993860382521352,0.7161283871612839,0.7672804148156613,0,0.6606765327695561,0,10000
CaO,PbO,0.10285726937020276,0.2297878950500602,-0.12693062567985744,-0.5516625790058023,0.14074865908129863,0.6307369263073692,0.7646927614930815,0,0.8784355179704016,0,10000
CaO,P2O5,0.40694139465016627,0.5975694973703325,-0.19062810272016623,-0.5792476946003693,0.23310880410388396,0.46315368463153683,0.7337266273372662,0,0.8255813953488372,0,10000
CaO,SrO,-0.05624343934203803,0.07864450012838814,-0.13488793947042615,-0.4186955339368691,0.20375521540429495,0.5969403059694031,0.7646927614930815,0,0.7716701902748414,0,10000
MgO,Al2O3,0.11043996050209609,0.18591441901027034,-0.07547445850817425,-0.3991524581925066,0.35934277906552703,0.7111288871112889,0.7672804148156613,0,0.5835095137420718,0,10000
