glass_type,component_i,component_j,rho_p
高钾,SiO2,K2O,-0.21925227033441638
高钾,SiO2,CaO,-0.23422806816060862
高钾,SiO2,MgO,-0.17465530198531504
高钾,SiO2,Al2O3,-0.3477859069619176
高钾,SiO2,Fe2O3,-0.21443155859411073
高钾,SiO2,CuO,-0.18648899285143702
高钾,SiO2,PbO,-0.062020771117241705
高钾,SiO2,P2O5,-0.1948243401541799
高钾,SiO2,SrO,0.0646802234559964
高钾,K2O,CaO,0.7838937050043646
高钾,K2O,MgO,0.022362902011405287
高钾,K2O,Al2O3,0.6639109519424905
高钾,K2O,Fe2O3,0.5072742335995292
高钾,K2O,CuO,0.39240301366192387
高钾,K2O,PbO,0.07643555648478238
高钾,K2O,P2O5,0.45825341411542597
高钾,K2O,SrO,-0.08243827079172827
高钾,CaO,MgO,0.089243465044645
高钾,CaO,Al2O3,0.8448971677915396
高钾,CaO,Fe2O3,0.745490415962447
高钾,CaO,CuO,0.28776805930493743
高钾,CaO,PbO,0.10285726937020276
高钾,CaO,P2O5,0.40694139465016627
高钾,CaO,SrO,-0.05624343934203803
高钾,MgO,Al2O3,0.11043996050209609
高钾,MgO,Fe2O3,0.3999490447156215
高钾,MgO,CuO,0.4948427729338457
高钾,MgO,PbO,0.042552103067836466
高钾,MgO,P2O5,0.43074238761533
高钾,MgO,SrO,0.2917172002375092
高钾,Al2O3,Fe2O3,0.6914908897551101
高钾,Al2O3,CuO,0.19464255899855504
高钾,Al2O3,PbO,0.20488347791383965
高钾,Al2O3,P2O5,0.4000450802039241
高钾,Al2O3,SrO,0.0048803071539071565
高钾,Fe2O3,CuO,0.5267364323606313
高钾,Fe2O3,PbO,0.12678929960806726
高钾,Fe2O3,P2O5,0.7022696896975897
高钾,Fe2O3,SrO,0.0937121123197257
高钾,CuO,PbO,-0.15355430940065937
高钾,CuO,P2O5,0.6125122428346704
高钾,CuO,SrO,0.04611199296909622
高钾,PbO,P2O5,-0.2663730861086387
高钾,PbO,SrO,0.31767763572204855
高钾,P2O5,SrO,0.03799757918478696
铅钡,SiO2,K2O,-0.33158692082262853
铅钡,SiO2,CaO,-0.4460231200077609
铅钡,SiO2,MgO,-0.05694306116617103
铅钡,SiO2,Al2O3,0.41951212471020916
铅钡,SiO2,Fe2O3,0.0456663893734129
铅钡,SiO2,CuO,-0.362441892930797
铅钡,SiO2,PbO,-0.7055669356615732
铅钡,SiO2,BaO,-0.5306515024250037
铅钡,SiO2,P2O5,-0.3259701582964513
铅钡,SiO2,SrO,-0.4877486644987463
铅钡,K2O,CaO,0.3865719473744262
铅钡,K2O,MgO,0.11692496706473837
铅钡,K2O,Al2O3,0.05813050064840825
铅钡,K2O,Fe2O3,0.26588601062544126
铅钡,K2O,CuO,0.07008901038048176
铅钡,K2O,PbO,0.21972297718244388
铅钡,K2O,BaO,0.17758873101136916
铅钡,K2O,P2O5,0.16231003371391053
铅钡,K2O,SrO,0.1011734097347186
铅钡,CaO,MgO,0.10164892188293134
铅钡,CaO,Al2O3,0.34368271520337246
铅钡,CaO,Fe2O3,0.30820267967781473
铅钡,CaO,CuO,0.1763742044727313
铅钡,CaO,PbO,0.2297878950500602
铅钡,CaO,BaO,-0.036794661824535904
铅钡,CaO,P2O5,0.5975694973703325
铅钡,CaO,SrO,0.07864450012838814
铅钡,MgO,Al2O3,0.18591441901027034
铅钡,MgO,Fe2O3,0.11538403377416336
铅钡,MgO,CuO,-0.12989141177784208
铅钡,MgO,PbO,-0.0700962231853222
铅钡,MgO,BaO,-0.045450164792385256
铅钡,MgO,P2O5,-0.028369836729982487
铅钡,MgO,SrO,0.015448897369369951
铅钡,Al2O3,Fe2O3,0.34839587675042677
铅钡,Al2O3,CuO,-0.18102018654221763
铅钡,Al2O3,PbO,-0.5165616819633636
铅钡,Al2O3,BaO,-0.31553493606413424
铅钡,Al2O3,P2O5,0.09983156097455932
铅钡,Al2O3,SrO,-0.35770923735213805
铅钡,Fe2O3,CuO,0.12601464965332465
铅钡,Fe2O3,PbO,-0.23383208235207562
铅钡,Fe2O3,BaO,0.042553890592078925
铅钡,Fe2O3,P2O5,0.15745925327742952
铅钡,Fe2O3,SrO,-0.024741164625941302
铅钡,CuO,PbO,0.05464976159852811
铅钡,CuO,BaO,0.5158432441975821
铅钡,CuO,P2O5,0.2507628580839325
铅钡,CuO,SrO,0.1751425417415709
铅钡,PbO,BaO,0.17073087411848487
铅钡,PbO,P2O5,0.12813964186424792
铅钡,PbO,SrO,0.3448784328866044
铅钡,BaO,P2O5,0.13958541522905396
铅钡,BaO,SrO,0.33783783052458893
铅钡,P2O5,SrO,0.017243236083729085
