glass_type,component_j,component_k,rho_raw,rho_adjusted,direction_same,selection_frequency_adjusted
高钾,SiO2,K2O,-0.21925227033441638,-0.09326601724418207,1,
高钾,SiO2,CaO,-0.23422806816060862,-0.14784432020110194,1,
高钾,SiO2,MgO,-0.17465530198531504,0.02455493837891684,0,
高钾,SiO2,Al2O3,-0.3477859069619176,-0.196654692449387,1,
高钾,SiO2,Fe2O3,-0.21443155859411073,-0.019054584334598185,1,
高钾,SiO2,CuO,-0.18648899285143702,-0.038880487837794,1,
高钾,SiO2,PbO,-0.062020771117241705,0.027394700258645592,0,
高钾,SiO2,P2O5,-0.1948243401541799,-0.018986858408930662,1,
高钾,SiO2,SrO,0.0646802234559964,-0.007570416525574945,0,
高钾,K2O,CaO,0.7838937050043646,0.27804213974643216,1,
高钾,K2O,MgO,0.022362902011405287,-0.2885886570842722,0,
高钾,K2O,Al2O3,0.6639109519424905,0.17885942367613583,1,
高钾,K2O,Fe2O3,0.5072742335995292,-0.4045003269794879,0,
高钾,K2O,CuO,0.39240301366192387,0.2508995777917343,1,
高钾,K2O,PbO,0.07643555648478238,-0.08065614600013465,0,
高钾,K2O,P2O5,0.45825341411542597,0.03118126066220384,1,
高钾,K2O,SrO,-0.08243827079172827,-0.13737827441508893,1,
高钾,CaO,MgO,0.089243465044645,-0.39574973597837154,0,
高钾,CaO,Al2O3,0.8448971677915396,0.7089325165499747,1,
高钾,CaO,Fe2O3,0.745490415962447,-0.12826852547270476,0,
高钾,CaO,CuO,0.28776805930493743,-0.06565138729237312,0,
高钾,CaO,PbO,0.10285726937020276,-0.1159683621575374,0,
高钾,CaO,P2O5,0.40694139465016627,-0.35746169667776834,0,
高钾,CaO,SrO,-0.05624343934203803,-0.1562844150725001,1,
高钾,MgO,Al2O3,0.11043996050209609,-0.2684797506217699,0,
高钾,MgO,Fe2O3,0.3999490447156215,0.6203020610719318,1,
高钾,MgO,CuO,0.4948427729338457,0.44495919908825277,1,
高钾,MgO,PbO,0.042552103067836466,-0.017319969747342782,0,
高钾,MgO,P2O5,0.43074238761533,0.41306394313496175,1,
高钾,MgO,SrO,0.2917172002375092,0.3426510159512506,1,
高钾,Al2O3,Fe2O3,0.6914908897551101,0.08343237414955325,1,
高钾,Al2O3,CuO,0.19464255899855504,-0.25009245221144283,0,
高钾,Al2O3,PbO,0.20488347791383965,0.09333387320946182,1,
高钾,Al2O3,P2O5,0.4000450802039241,-0.19870596957906236,0,
高钾,Al2O3,SrO,0.0048803071539071565,0.12072564238132567,1,
高钾,Fe2O3,CuO,0.5267364323606313,0.5294122574812348,1,
高钾,Fe2O3,PbO,0.12678929960806726,-0.015681859387388242,0,
