component,component_cn,n_records,n_observed,n_missing,missing_rate,n_explicit_zero,min_positive_pct,q25_pct,median_pct,q75_pct,max_pct
SiO2,二氧化硅,69,69,0,0.0,0,3.72,29.15,51.54,65.18,96.77
Na2O,氧化钠,69,19,50,0.7246376811594203,0,0.8,2.1100000000000003,2.71,3.295,7.92
K2O,氧化钾,69,41,28,0.4057971014492754,0,0.11,0.25,0.44,7.37,14.52
CaO,氧化钙,69,61,8,0.11594202898550725,0,0.21,0.87,2.08,4.24,8.7
MgO,氧化镁,69,44,25,0.36231884057971014,0,0.47,0.71,1.01,1.3225,2.73
Al2O3,氧化铝,69,68,1,0.014492753623188406,0,0.45,1.8650000000000002,3.37,5.3975,14.34
Fe2O3,氧化铁,69,45,24,0.34782608695652173,0,0.17,0.35,1.03,1.86,6.04
CuO,氧化铜,69,64,5,0.07246376811594203,0,0.11,0.7,1.145,3.04,10.57
PbO,氧化铅,69,58,11,0.15942028985507245,0,0.11,16.0325,28.91,42.5175,70.21
BaO,氧化钡,69,53,16,0.2318840579710145,3,0.97,4.88,7.95,10.83,35.45
P2O5,五氧化二磷,69,59,10,0.14492753623188406,0,0.07,0.35,1.17,5.105,14.13
SrO,氧化锶,69,46,23,0.3333333333333333,0,0.04,0.2225,0.33999999999999997,0.47,1.12
SnO2,氧化锡,69,7,62,0.8985507246376812,1,0.23,0.315,0.44,0.89,2.36
SO2,二氧化硫,69,8,61,0.8840579710144928,0,0.36,0.44999999999999996,2.27,6.5024999999999995,15.95
