table,original_name,safe_name,dtype,unit,level,allowed_or_meaning
表单1,文物编号,artifact_id,string,无,文物,01--58
表单1,纹饰,pattern,category,无,文物,A/B/C
表单1,类型,glass_type,category,无,文物,高钾/铅钡
表单1,颜色,color,category,无,文物,原表类别；空白保留未知
表单1,表面风化,surface_weathering,category,无,文物,风化/无风化
表单2,文物采样点,sample_point,string,无,采样点,文物编号及点位说明
表单2/表单3,二氧化硅,SiO2,float,%,采样点/未知文物,非负；空白表示未检出或未提供数值
表单2/表单3,氧化钠,Na2O,float,%,采样点/未知文物,非负；空白表示未检出或未提供数值
表单2/表单3,氧化钾,K2O,float,%,采样点/未知文物,非负；空白表示未检出或未提供数值
表单2/表单3,氧化钙,CaO,float,%,采样点/未知文物,非负；空白表示未检出或未提供数值
表单2/表单3,氧化镁,MgO,float,%,采样点/未知文物,非负；空白表示未检出或未提供数值
表单2/表单3,氧化铝,Al2O3,float,%,采样点/未知文物,非负；空白表示未检出或未提供数值
表单2/表单3,氧化铁,Fe2O3,float,%,采样点/未知文物,非负；空白表示未检出或未提供数值
表单2/表单3,氧化铜,CuO,float,%,采样点/未知文物,非负；空白表示未检出或未提供数值
表单2/表单3,氧化铅,PbO,float,%,采样点/未知文物,非负；空白表示未检出或未提供数值
表单2/表单3,氧化钡,BaO,float,%,采样点/未知文物,非负；空白表示未检出或未提供数值
表单2/表单3,五氧化二磷,P2O5,float,%,采样点/未知文物,非负；空白表示未检出或未提供数值
表单2/表单3,氧化锶,SrO,float,%,采样点/未知文物,非负；空白表示未检出或未提供数值
表单2/表单3,氧化锡,SnO2,float,%,采样点/未知文物,非负；空白表示未检出或未提供数值
表单2/表单3,二氧化硫,SO2,float,%,采样点/未知文物,非负；空白表示未检出或未提供数值
