task_id,split_id,group_name,component,n_observed,median_value,fallback_level,active_feature
q1_2_q1_3_q2_2_q4,type_group_full,铅钡,SiO2,49,35.78,group,1
q1_2_q1_3_q2_2_q4,type_group_full,铅钡,Na2O,14,2.685,group,1
q1_2_q1_3_q2_2_q4,type_group_full,铅钡,K2O,24,0.275,group,1
q1_2_q1_3_q2_2_q4,type_group_full,铅钡,CaO,45,1.87,group,1
q1_2_q1_3_q2_2_q4,type_group_full,铅钡,MgO,30,1.0,group,1
q1_2_q1_3_q2_2_q4,type_group_full,铅钡,Al2O3,49,3.06,group,1
q1_2_q1_3_q2_2_q4,type_group_full,铅钡,Fe2O3,27,1.0,group,1
q1_2_q1_3_q2_2_q4,type_group_full,铅钡,CuO,45,0.86,group,1
q1_2_q1_3_q2_2_q4,type_group_full,铅钡,PbO,49,31.9,group,1
q1_2_q1_3_q2_2_q4,type_group_full,铅钡,BaO,46,9.11,group,1
q1_2_q1_3_q2_2_q4,type_group_full,铅钡,P2O5,41,2.54,group,1
q1_2_q1_3_q2_2_q4,type_group_full,铅钡,SrO,40,0.37,group,1
q1_2_q1_3_q2_2_q4,type_group_full,铅钡,SnO2,5,0.44,group,1
q1_2_q1_3_q2_2_q4,type_group_full,铅钡,SO2,5,3.66,group,1
q1_2_q1_3_q2_2_q4,type_group_full,高钾,SiO2,18,73.005,group,1
q1_2_q1_3_q2_2_q4,type_group_full,高钾,Na2O,3,2.71,global,1
q1_2_q1_3_q2_2_q4,type_group_full,高钾,K2O,15,9.42,group,1
q1_2_q1_3_q2_2_q4,type_group_full,高钾,CaO,16,5.0600000000000005,group,1
q1_2_q1_3_q2_2_q4,type_group_full,高钾,MgO,12,1.165,group,1
q1_2_q1_3_q2_2_q4,type_group_full,高钾,Al2O3,18,4.779999999999999,group,1
q1_2_q1_3_q2_2_q4,type_group_full,高钾,Fe2O3,16,1.12,group,1
q1_2_q1_3_q2_2_q4,type_group_full,高钾,CuO,17,2.18,group,1
q1_2_q1_3_q2_2_q4,type_group_full,高钾,PbO,7,0.35,group,1
q1_2_q1_3_q2_2_q4,type_group_full,高钾,BaO,5,1.38,group,1
q1_2_q1_3_q2_2_q4,type_group_full,高钾,P2O5,16,0.745,group,1
q1_2_q1_3_q2_2_q4,type_group_full,高钾,SrO,6,0.085,group,1
q1_2_q1_3_q2_2_q4,type_group_full,高钾,SnO2,1,0.45499999999999996,global,1
q1_2_q1_3_q2_2_q4,type_group_full,高钾,SO2,3,2.27,global,1
q2_1_q3_full_fit_only,weathering_group_full,无风化,SiO2,25,61.71,group,1
q2_1_q3_full_fit_only,weathering_group_full,无风化,Na2O,6,2.785,group,1
q2_1_q3_full_fit_only,weathering_group_full,无风化,K2O,19,7.37,group,1
q2_1_q3_full_fit_only,weathering_group_full,无风化,CaO,21,4.24,group,1
q2_1_q3_full_fit_only,weathering_group_full,无风化,MgO,17,1.0,group,1
q2_1_q3_full_fit_only,weathering_group_full,无风化,Al2O3,25,4.35,group,1
q2_1_q3_full_fit_only,weathering_group_full,无风化,Fe2O3,16,2.14,group,1
q2_1_q3_full_fit_only,weathering_group_full,无风化,CuO,22,1.625,group,1
q2_1_q3_full_fit_only,weathering_group_full,无风化,PbO,20,16.355,group,1
q2_1_q3_full_fit_only,weathering_group_full,无风化,BaO,18,6.8149999999999995,group,1
q2_1_q3_full_fit_only,weathering_group_full,无风化,P2O5,22,0.865,group,1
q2_1_q3_full_fit_only,weathering_group_full,无风化,SrO,14,0.265,group,1
q2_1_q3_full_fit_only,weathering_group_full,无风化,SnO2,3,0.45499999999999996,global,1
q2_1_q3_full_fit_only,weathering_group_full,无风化,SO2,4,2.27,global,1
q2_1_q3_full_fit_only,weathering_group_full,风化,SiO2,42,33.260000000000005,group,1
q2_1_q3_full_fit_only,weathering_group_full,风化,Na2O,11,2.31,group,1
q2_1_q3_full_fit_only,weathering_group_full,风化,K2O,20,0.32,group,1
q2_1_q3_full_fit_only,weathering_group_full,风化,CaO,40,1.975,group,1
q2_1_q3_full_fit_only,weathering_group_full,风化,MgO,25,1.09,group,1
q2_1_q3_full_fit_only,weathering_group_full,风化,Al2O3,42,2.54,group,1
q2_1_q3_full_fit_only,weathering_group_full,风化,Fe2O3,27,0.47,group,1
q2_1_q3_full_fit_only,weathering_group_full,风化,CuO,40,1.145,group,1
q2_1_q3_full_fit_only,weathering_group_full,风化,PbO,36,39.795,group,1
q2_1_q3_full_fit_only,weathering_group_full,风化,BaO,33,8.94,group,1
q2_1_q3_full_fit_only,weathering_group_full,风化,P2O5,35,3.57,group,1
q2_1_q3_full_fit_only,weathering_group_full,风化,SrO,32,0.37,group,1
q2_1_q3_full_fit_only,weathering_group_full,风化,SnO2,3,0.45499999999999996,global,1
q2_1_q3_full_fit_only,weathering_group_full,风化,SO2,4,2.27,global,1
