raw_row_id,artifact_id,sample_point,surface_weathering,point_weathering,weathering_source
表单2:2,01,01,无风化,无风化,artifact_inherited
表单2:3,02,02,风化,风化,artifact_inherited
表单2:4,03,03部位1,无风化,无风化,artifact_inherited
表单2:5,03,03部位2,无风化,无风化,artifact_inherited
表单2:6,04,04,无风化,无风化,artifact_inherited
表单2:7,05,05,无风化,无风化,artifact_inherited
表单2:8,06,06部位1,无风化,无风化,artifact_inherited
表单2:9,06,06部位2,无风化,无风化,artifact_inherited
表单2:10,07,07,风化,风化,artifact_inherited
表单2:11,08,08,风化,风化,artifact_inherited
表单2:12,08,08严重风化点,风化,风化,point_severe
表单2:13,09,09,风化,风化,artifact_inherited
表单2:14,10,10,风化,风化,artifact_inherited
表单2:15,11,11,风化,风化,artifact_inherited
表单2:16,12,12,风化,风化,artifact_inherited
表单2:17,13,13,无风化,无风化,artifact_inherited
表单2:18,14,14,无风化,无风化,artifact_inherited
表单2:19,15,15,无风化,无风化,artifact_inherited
表单2:20,16,16,无风化,无风化,artifact_inherited
表单2:21,17,17,无风化,无风化,artifact_inherited
表单2:22,18,18,无风化,无风化,artifact_inherited
表单2:23,19,19,风化,风化,artifact_inherited
表单2:24,20,20,无风化,无风化,artifact_inherited
表单2:25,21,21,无风化,无风化,artifact_inherited
表单2:26,22,22,风化,风化,artifact_inherited
表单2:27,23,23未风化点,风化,无风化,point_unweathered
表单2:28,24,24,无风化,无风化,artifact_inherited
表单2:29,25,25未风化点,风化,无风化,point_unweathered
表单2:30,26,26,风化,风化,artifact_inherited
表单2:31,26,26严重风化点,风化,风化,point_severe
表单2:32,27,27,风化,风化,artifact_inherited
表单2:33,28,28未风化点,风化,无风化,point_unweathered
表单2:34,29,29未风化点,风化,无风化,point_unweathered
表单2:35,30,30部位1,无风化,无风化,artifact_inherited
表单2:36,30,30部位2,无风化,无风化,artifact_inherited
表单2:37,31,31,无风化,无风化,artifact_inherited
表单2:38,32,32,无风化,无风化,artifact_inherited
表单2:39,33,33,无风化,无风化,artifact_inherited
表单2:40,34,34,风化,风化,artifact_inherited
表单2:41,35,35,无风化,无风化,artifact_inherited
表单2:42,36,36,风化,风化,artifact_inherited
表单2:43,37,37,无风化,无风化,artifact_inherited
表单2:44,38,38,风化,风化,artifact_inherited
表单2:45,39,39,风化,风化,artifact_inherited
表单2:46,40,40,风化,风化,artifact_inherited
表单2:47,41,41,风化,风化,artifact_inherited
表单2:48,42,42未风化点1,风化,无风化,point_unweathered
表单2:49,42,42未风化点2,风化,无风化,point_unweathered
表单2:50,43,43部位1,风化,风化,artifact_inherited
表单2:51,43,43部位2,风化,风化,artifact_inherited
表单2:52,44,44未风化点,风化,无风化,point_unweathered
表单2:53,45,45,无风化,无风化,artifact_inherited
表单2:54,46,46,无风化,无风化,artifact_inherited
表单2:55,47,47,无风化,无风化,artifact_inherited
表单2:56,48,48,风化,风化,artifact_inherited
表单2:57,49,49,风化,风化,artifact_inherited
表单2:58,49,49未风化点,风化,无风化,point_unweathered
表单2:59,50,50,风化,风化,artifact_inherited
表单2:60,50,50未风化点,风化,无风化,point_unweathered
表单2:61,51,51部位1,风化,风化,artifact_inherited
表单2:62,51,51部位2,风化,风化,artifact_inherited
表单2:63,52,52,风化,风化,artifact_inherited
表单2:64,53,53未风化点,风化,无风化,point_unweathered
表单2:65,54,54,风化,风化,artifact_inherited
表单2:66,54,54严重风化点,风化,风化,point_severe
表单2:67,55,55,无风化,无风化,artifact_inherited
表单2:68,56,56,风化,风化,artifact_inherited
表单2:69,57,57,风化,风化,artifact_inherited
表单2:70,58,58,风化,风化,artifact_inherited
