task_id,split_id,scope,component,group_key,group_level,n_records,n_missing,missing_rate,n_complete_case_retained,complete_case_loss_rate,median_pct,mad_pct,between_group_effect,fallback_rate
q1_2_q1_3_q2_2_q4,full_known_main,known_valid_points,SiO2,glass_type,铅钡,49,0,0.0,0,1.0,35.78,15.549999999999997,37.224999999999994,
q1_2_q1_3_q2_2_q4,full_known_main,known_valid_points,Na2O,glass_type,铅钡,49,35,0.7142857142857143,0,1.0,2.685,1.3850000000000002,0.17499999999999982,
q1_2_q1_3_q2_2_q4,full_known_main,known_valid_points,K2O,glass_type,铅钡,49,25,0.5102040816326531,0,1.0,0.275,0.06999999999999999,9.145,
q1_2_q1_3_q2_2_q4,full_known_main,known_valid_points,CaO,glass_type,铅钡,49,4,0.08163265306122448,0,1.0,1.87,1.1399999999999997,3.1900000000000004,
q1_2_q1_3_q2_2_q4,full_known_main,known_valid_points,MgO,glass_type,铅钡,49,19,0.3877551020408163,0,1.0,1.0,0.27,0.16500000000000004,
q1_2_q1_3_q2_2_q4,full_known_main,known_valid_points,Al2O3,glass_type,铅钡,49,0,0.0,0,1.0,3.06,1.46,1.7199999999999993,
q1_2_q1_3_q2_2_q4,full_known_main,known_valid_points,Fe2O3,glass_type,铅钡,49,22,0.4489795918367347,0,1.0,1.0,0.5800000000000001,0.1200000000000001,
q1_2_q1_3_q2_2_q4,full_known_main,known_valid_points,CuO,glass_type,铅钡,49,4,0.08163265306122448,0,1.0,0.86,0.4800000000000001,1.3200000000000003,
q1_2_q1_3_q2_2_q4,full_known_main,known_valid_points,PbO,glass_type,铅钡,49,0,0.0,0,1.0,31.9,12.139999999999997,31.549999999999997,
q1_2_q1_3_q2_2_q4,full_known_main,known_valid_points,BaO,glass_type,铅钡,49,3,0.061224489795918366,0,1.0,9.11,2.6049999999999995,7.7299999999999995,
q1_2_q1_3_q2_2_q4,full_known_main,known_valid_points,P2O5,glass_type,铅钡,49,8,0.16326530612244897,0,1.0,2.54,2.37,1.795,
q1_2_q1_3_q2_2_q4,full_known_main,known_valid_points,SrO,glass_type,铅钡,49,9,0.1836734693877551,0,1.0,0.37,0.12,0.285,
q1_2_q1_3_q2_2_q4,full_known_main,known_valid_points,SnO2,glass_type,铅钡,49,44,0.8979591836734694,0,1.0,0.44,0.03999999999999998,1.92,
q1_2_q1_3_q2_2_q4,full_known_main,known_valid_points,SO2,glass_type,铅钡,49,44,0.8979591836734694,0,1.0,3.66,1.7000000000000002,3.27,
q1_2_q1_3_q2_2_q4,full_known_main,known_valid_points,SiO2,glass_type,高钾,18,0,0.0,0,1.0,73.005,12.309999999999995,37.224999999999994,
q1_2_q1_3_q2_2_q4,full_known_main,known_valid_points,Na2O,glass_type,高钾,18,15,0.8333333333333334,0,1.0,2.86,0.52,0.17499999999999982,
q1_2_q1_3_q2_2_q4,full_known_main,known_valid_points,K2O,glass_type,高钾,18,3,0.16666666666666666,0,1.0,9.42,2.9499999999999993,9.145,
q1_2_q1_3_q2_2_q4,full_known_main,known_valid_points,CaO,glass_type,高钾,18,2,0.1111111111111111,0,1.0,5.0600000000000005,3.1899999999999995,3.1900000000000004,
q1_2_q1_3_q2_2_q4,full_known_main,known_valid_points,MgO,glass_type,高钾,18,6,0.3333333333333333,0,1.0,1.165,0.515,0.16500000000000004,
q1_2_q1_3_q2_2_q4,full_known_main,known_valid_points,Al2O3,glass_type,高钾,18,0,0.0,0,1.0,4.779999999999999,1.9999999999999996,1.7199999999999993,
q1_2_q1_3_q2_2_q4,full_known_main,known_valid_points,Fe2O3,glass_type,高钾,18,2,0.1111111111111111,0,1.0,1.12,0.93,0.1200000000000001,
q1_2_q1_3_q2_2_q4,full_known_main,known_valid_points,CuO,glass_type,高钾,18,1,0.05555555555555555,0,1.0,2.18,1.0999999999999996,1.3200000000000003,
q1_2_q1_3_q2_2_q4,full_known_main,known_valid_points,PbO,glass_type,高钾,18,11,0.6111111111111112,0,1.0,0.35,0.24,31.549999999999997,
q1_2_q1_3_q2_2_q4,full_known_main,known_valid_points,BaO,glass_type,高钾,18,13,0.7222222222222222,0,1.0,1.38,0.5900000000000001,7.7299999999999995,
q1_2_q1_3_q2_2_q4,full_known_main,known_valid_points,P2O5,glass_type,高钾,18,2,0.1111111111111111,0,1.0,0.745,0.41,1.795,
q1_2_q1_3_q2_2_q4,full_known_main,known_valid_points,SrO,glass_type,高钾,18,12,0.6666666666666666,0,1.0,0.085,0.025,0.285,
q1_2_q1_3_q2_2_q4,full_known_main,known_valid_points,SnO2,glass_type,高钾,18,17,0.9444444444444444,0,1.0,2.36,0.0,1.92,
q1_2_q1_3_q2_2_q4,full_known_main,known_valid_points,SO2,glass_type,高钾,18,15,0.8333333333333334,0,1.0,0.39,0.030000000000000027,3.27,
q2_1_q3,full_known_main,known_valid_points,SiO2,surface_weathering,无风化,25,0,0.0,0,1.0,61.71,6.5,28.449999999999996,
q2_1_q3,full_known_main,known_valid_points,Na2O,surface_weathering,无风化,25,19,0.76,0,1.0,2.785,0.3599999999999999,0.4750000000000001,
q2_1_q3,full_known_main,known_valid_points,K2O,surface_weathering,无风化,25,6,0.24,0,1.0,7.37,5.159999999999999,7.05,
q2_1_q3,full_known_main,known_valid_points,CaO,surface_weathering,无风化,25,4,0.16,0,1.0,4.24,3.1100000000000003,2.265,
q2_1_q3,full_known_main,known_valid_points,MgO,surface_weathering,无风化,25,8,0.32,0,1.0,1.0,0.39,0.09000000000000008,
q2_1_q3,full_known_main,known_valid_points,Al2O3,surface_weathering,无风化,25,0,0.0,0,1.0,4.35,1.8100000000000005,1.8099999999999996,
q2_1_q3,full_known_main,known_valid_points,Fe2O3,surface_weathering,无风化,25,9,0.36,0,1.0,2.14,0.6150000000000001,1.6700000000000002,
q2_1_q3,full_known_main,known_valid_points,CuO,surface_weathering,无风化,25,3,0.12,0,1.0,1.625,1.17,0.48,
q2_1_q3,full_known_main,known_valid_points,PbO,surface_weathering,无风化,25,5,0.2,0,1.0,16.355,13.76,23.44,
q2_1_q3,full_known_main,known_valid_points,BaO,surface_weathering,无风化,25,7,0.28,0,1.0,6.8149999999999995,3.5300000000000002,2.125,
q2_1_q3,full_known_main,known_valid_points,P2O5,surface_weathering,无风化,25,3,0.12,0,1.0,0.865,0.57,2.705,
q2_1_q3,full_known_main,known_valid_points,SrO,surface_weathering,无风化,25,11,0.44,0,1.0,0.265,0.16499999999999998,0.10499999999999998,
q2_1_q3,full_known_main,known_valid_points,SnO2,surface_weathering,无风化,25,22,0.88,0,1.0,0.44,0.03999999999999998,0.02999999999999997,
q2_1_q3,full_known_main,known_valid_points,SO2,surface_weathering,无风化,25,21,0.84,0,1.0,0.43,0.05499999999999999,8.375,
q2_1_q3,full_known_main,known_valid_points,SiO2,surface_weathering,风化,42,0,0.0,0,1.0,33.260000000000005,15.715000000000005,28.449999999999996,
q2_1_q3,full_known_main,known_valid_points,Na2O,surface_weathering,风化,42,31,0.7380952380952381,0,1.0,2.31,1.09,0.4750000000000001,
q2_1_q3,full_known_main,known_valid_points,K2O,surface_weathering,风化,42,22,0.5238095238095238,0,1.0,0.32,0.115,7.05,
q2_1_q3,full_known_main,known_valid_points,CaO,surface_weathering,风化,42,2,0.047619047619047616,0,1.0,1.975,1.19,2.265,
q2_1_q3,full_known_main,known_valid_points,MgO,surface_weathering,风化,42,17,0.40476190476190477,0,1.0,1.09,0.3599999999999999,0.09000000000000008,
q2_1_q3,full_known_main,known_valid_points,Al2O3,surface_weathering,风化,42,0,0.0,0,1.0,2.54,1.1600000000000001,1.8099999999999996,
q2_1_q3,full_known_main,known_valid_points,Fe2O3,surface_weathering,风化,42,15,0.35714285714285715,0,1.0,0.47,0.29000000000000004,1.6700000000000002,
q2_1_q3,full_known_main,known_valid_points,CuO,surface_weathering,风化,42,2,0.047619047619047616,0,1.0,1.145,0.48499999999999993,0.48,
q2_1_q3,full_known_main,known_valid_points,PbO,surface_weathering,风化,42,6,0.14285714285714285,0,1.0,39.795,10.07,23.44,
q2_1_q3,full_known_main,known_valid_points,BaO,surface_weathering,风化,42,9,0.21428571428571427,0,1.0,8.94,2.7199999999999998,2.125,
q2_1_q3,full_known_main,known_valid_points,P2O5,surface_weathering,风化,42,7,0.16666666666666666,0,1.0,3.57,3.21,2.705,
q2_1_q3,full_known_main,known_valid_points,SrO,surface_weathering,风化,42,10,0.23809523809523808,0,1.0,0.37,0.125,0.10499999999999998,
q2_1_q3,full_known_main,known_valid_points,SnO2,surface_weathering,风化,42,39,0.9285714285714286,0,1.0,0.47,0.23999999999999996,0.02999999999999997,
q2_1_q3,full_known_main,known_valid_points,SO2,surface_weathering,风化,42,38,0.9047619047619048,0,1.0,8.805,6.535,8.375,
