raw_row_id,artifact_id,source_table,sample_point
表单1:2,01,表单1,
表单1:3,02,表单1,
表单1:4,03,表单1,
表单1:5,04,表单1,
表单1:6,05,表单1,
表单1:7,06,表单1,
表单1:8,07,表单1,
表单1:9,08,表单1,
表单1:10,09,表单1,
表单1:11,10,表单1,
表单1:12,11,表单1,
表单1:13,12,表单1,
表单1:14,13,表单1,
表单1:15,14,表单1,
表单1:16,15,表单1,
表单1:17,16,表单1,
表单1:18,17,表单1,
表单1:19,18,表单1,
表单1:20,19,表单1,
表单1:21,20,表单1,
表单1:22,21,表单1,
表单1:23,22,表单1,
表单1:24,23,表单1,
表单1:25,24,表单1,
表单1:26,25,表单1,
表单1:27,26,表单1,
表单1:28,27,表单1,
表单1:29,28,表单1,
表单1:30,29,表单1,
表单1:31,30,表单1,
表单1:32,31,表单1,
表单1:33,32,表单1,
表单1:34,33,表单1,
表单1:35,34,表单1,
表单1:36,35,表单1,
表单1:37,36,表单1,
表单1:38,37,表单1,
表单1:39,38,表单1,
表单1:40,39,表单1,
表单1:41,40,表单1,
表单1:42,41,表单1,
表单1:43,42,表单1,
表单1:44,43,表单1,
表单1:45,44,表单1,
表单1:46,45,表单1,
表单1:47,46,表单1,
表单1:48,47,表单1,
表单1:49,48,表单1,
表单1:50,49,表单1,
表单1:51,50,表单1,
表单1:52,51,表单1,
表单1:53,52,表单1,
表单1:54,53,表单1,
表单1:55,54,表单1,
表单1:56,55,表单1,
表单1:57,56,表单1,
表单1:58,57,表单1,
表单1:59,58,表单1,
表单2:2,01,表单2,01
表单2:3,02,表单2,02
表单2:4,03,表单2,03部位1
表单2:5,03,表单2,03部位2
表单2:6,04,表单2,04
表单2:7,05,表单2,05
表单2:8,06,表单2,06部位1
表单2:9,06,表单2,06部位2
表单2:10,07,表单2,07
表单2:11,08,表单2,08
表单2:12,08,表单2,08严重风化点
表单2:13,09,表单2,09
表单2:14,10,表单2,10
表单2:15,11,表单2,11
表单2:16,12,表单2,12
表单2:17,13,表单2,13
表单2:18,14,表单2,14
表单2:19,15,表单2,15
表单2:20,16,表单2,16
表单2:21,17,表单2,17
表单2:22,18,表单2,18
表单2:23,19,表单2,19
表单2:24,20,表单2,20
表单2:25,21,表单2,21
表单2:26,22,表单2,22
表单2:27,23,表单2,23未风化点
表单2:28,24,表单2,24
表单2:29,25,表单2,25未风化点
表单2:30,26,表单2,26
表单2:31,26,表单2,26严重风化点
表单2:32,27,表单2,27
表单2:33,28,表单2,28未风化点
表单2:34,29,表单2,29未风化点
表单2:35,30,表单2,30部位1
表单2:36,30,表单2,30部位2
表单2:37,31,表单2,31
表单2:38,32,表单2,32
表单2:39,33,表单2,33
表单2:40,34,表单2,34
表单2:41,35,表单2,35
表单2:42,36,表单2,36
表单2:43,37,表单2,37
表单2:44,38,表单2,38
表单2:45,39,表单2,39
表单2:46,40,表单2,40
表单2:47,41,表单2,41
表单2:48,42,表单2,42未风化点1
表单2:49,42,表单2,42未风化点2
表单2:50,43,表单2,43部位1
表单2:51,43,表单2,43部位2
表单2:52,44,表单2,44未风化点
表单2:53,45,表单2,45
表单2:54,46,表单2,46
表单2:55,47,表单2,47
表单2:56,48,表单2,48
表单2:57,49,表单2,49
表单2:58,49,表单2,49未风化点
表单2:59,50,表单2,50
表单2:60,50,表单2,50未风化点
表单2:61,51,表单2,51部位1
表单2:62,51,表单2,51部位2
表单2:63,52,表单2,52
表单2:64,53,表单2,53未风化点
表单2:65,54,表单2,54
表单2:66,54,表单2,54严重风化点
表单2:67,55,表单2,55
表单2:68,56,表单2,56
表单2:69,57,表单2,57
表单2:70,58,表单2,58
