artifact_id,n_sample_points,multiple_points
01,1,False
02,1,False
03,2,True
04,1,False
05,1,False
06,2,True
07,1,False
08,2,True
09,1,False
10,1,False
11,1,False
12,1,False
13,1,False
14,1,False
15,1,False
16,1,False
17,1,False
18,1,False
19,1,False
20,1,False
21,1,False
22,1,False
23,1,False
24,1,False
25,1,False
26,2,True
27,1,False
28,1,False
29,1,False
30,2,True
31,1,False
32,1,False
33,1,False
34,1,False
35,1,False
36,1,False
37,1,False
38,1,False
39,1,False
40,1,False
41,1,False
42,2,True
43,2,True
44,1,False
45,1,False
46,1,False
47,1,False
48,1,False
49,2,True
50,2,True
51,2,True
52,1,False
53,1,False
54,2,True
55,1,False
56,1,False
57,1,False
58,1,False
