task_id,split_id,component,zero_c,delta,training_min_positive
q1_2_q1_3_q2_2_q4,type_group_full,SiO2,0.5,1.86,3.72
q1_2_q1_3_q2_2_q4,type_group_full,Na2O,0.5,0.4,0.8
q1_2_q1_3_q2_2_q4,type_group_full,K2O,0.5,0.055,0.11
q1_2_q1_3_q2_2_q4,type_group_full,CaO,0.5,0.105,0.21
q1_2_q1_3_q2_2_q4,type_group_full,MgO,0.5,0.235,0.47
q1_2_q1_3_q2_2_q4,type_group_full,Al2O3,0.5,0.225,0.45
q1_2_q1_3_q2_2_q4,type_group_full,Fe2O3,0.5,0.085,0.17
q1_2_q1_3_q2_2_q4,type_group_full,CuO,0.5,0.055,0.11
q1_2_q1_3_q2_2_q4,type_group_full,PbO,0.5,0.055,0.11
q1_2_q1_3_q2_2_q4,type_group_full,BaO,0.5,0.485,0.97
q1_2_q1_3_q2_2_q4,type_group_full,P2O5,0.5,0.035,0.07
q1_2_q1_3_q2_2_q4,type_group_full,SrO,0.5,0.02,0.04
q1_2_q1_3_q2_2_q4,type_group_full,SnO2,0.5,0.115,0.23
q1_2_q1_3_q2_2_q4,type_group_full,SO2,0.5,0.18,0.36
q2_1_q3_full_fit_only,weathering_group_full,SiO2,0.5,1.86,3.72
q2_1_q3_full_fit_only,weathering_group_full,Na2O,0.5,0.4,0.8
q2_1_q3_full_fit_only,weathering_group_full,K2O,0.5,0.055,0.11
q2_1_q3_full_fit_only,weathering_group_full,CaO,0.5,0.105,0.21
q2_1_q3_full_fit_only,weathering_group_full,MgO,0.5,0.235,0.47
q2_1_q3_full_fit_only,weathering_group_full,Al2O3,0.5,0.225,0.45
q2_1_q3_full_fit_only,weathering_group_full,Fe2O3,0.5,0.085,0.17
q2_1_q3_full_fit_only,weathering_group_full,CuO,0.5,0.055,0.11
q2_1_q3_full_fit_only,weathering_group_full,PbO,0.5,0.055,0.11
q2_1_q3_full_fit_only,weathering_group_full,BaO,0.5,0.485,0.97
q2_1_q3_full_fit_only,weathering_group_full,P2O5,0.5,0.035,0.07
q2_1_q3_full_fit_only,weathering_group_full,SrO,0.5,0.02,0.04
q2_1_q3_full_fit_only,weathering_group_full,SnO2,0.5,0.115,0.23
q2_1_q3_full_fit_only,weathering_group_full,SO2,0.5,0.18,0.36
