attribute,level,weathering_level,observed_n,expected_n
glass_type,铅钡,无风化,12,16.551724137931036
glass_type,铅钡,风化,28,23.448275862068964
glass_type,高钾,无风化,12,7.448275862068965
glass_type,高钾,风化,6,10.551724137931034
pattern,A,无风化,11,9.10344827586207
pattern,A,风化,11,12.89655172413793
pattern,B,无风化,0,2.4827586206896552
pattern,B,风化,6,3.5172413793103448
pattern,C,无风化,13,12.413793103448276
pattern,C,风化,17,17.586206896551722
color,未知,无风化,0,1.6551724137931034
color,未知,风化,4,2.3448275862068964
color,浅绿,无风化,2,1.2413793103448276
color,浅绿,风化,1,1.7586206896551724
color,浅蓝,无风化,8,8.275862068965518
color,浅蓝,风化,12,11.724137931034482
color,深绿,无风化,3,2.896551724137931
color,深绿,风化,4,4.103448275862069
color,深蓝,无风化,2,0.8275862068965517
color,深蓝,风化,0,1.1724137931034482
color,紫,无风化,2,1.6551724137931034
color,紫,风化,2,2.3448275862068964
color,绿,无风化,1,0.41379310344827586
color,绿,风化,0,0.5862068965517241
color,蓝绿,无风化,6,6.206896551724138
color,蓝绿,风化,9,8.793103448275861
color,黑,无风化,0,0.8275862068965517
color,黑,风化,2,1.1724137931034482
