term,reference_level,beta,se,odds_ratio,ci_low,ci_high,p_value,estimator,converged
const,intercept,23.63564281188019,58177.16277950235,18400484116.23521,9.357622968840175e-14,10686474581524.463,0.9996758433539129,GLM_binomial_MLE,True
glass_type_高钾,,-66.22074850045392,52207.09721288475,9.357622968840175e-14,9.357622968840175e-14,10686474581524.463,0.9989879441400512,GLM_binomial_MLE,True
pattern_B,A,68.94104483669409,66752.48050255232,10686474581524.463,9.357622968840175e-14,10686474581524.463,0.9991759559332051,GLM_binomial_MLE,True
pattern_C,A,22.8056268748637,27164.52963526059,8023390096.935928,9.357622968840175e-14,10686474581524.463,0.999330146492883,GLM_binomial_MLE,True
color_浅绿,未知,-47.13441686730376,64206.63301117577,9.357622968840175e-14,9.357622968840175e-14,10686474581524.463,0.9994142689258219,GLM_binomial_MLE,True
color_浅蓝,未知,-23.230177703772032,58177.16278308332,8.15195942957012e-11,9.357622968840175e-14,10686474581524.463,0.9996814042013167,GLM_binomial_MLE,True
color_深绿,未知,-45.748122506183925,64206.63300533529,9.357622968840175e-14,9.357622968840175e-14,10686474581524.463,0.9994314961580082,GLM_binomial_MLE,True
color_深蓝,未知,-46.816655071129944,87640.52262173923,9.357622968840175e-14,9.357622968840175e-14,10686474581524.463,0.999573778391825,GLM_binomial_MLE,True
color_紫,未知,-46.44126968674386,64206.63300728213,9.357622968840175e-14,9.357622968840175e-14,10686474581524.463,0.9994228825418723,GLM_binomial_MLE,True
color_绿,未知,-71.00733821024973,145898.23395366888,9.357622968840175e-14,9.357622968840175e-14,10686474581524.463,0.9996116768853898,GLM_binomial_MLE,True
color_蓝绿,未知,-1.7898706242761075,67193.09231754382,0.166981771657209,9.357622968840175e-14,10686474581524.463,0.9999787461763179,GLM_binomial_MLE,True
color_黑,未知,0.9304257116309859,109391.48137625614,2.5355883773512478,9.357622968840175e-14,10686474581524.463,0.9999932136186389,GLM_binomial_MLE,True
