glass_type,attempt,reason
高钾,14,活动成分BaO在训练集中全缺失
高钾,17,活动成分BaO在训练集中全缺失
高钾,73,活动成分BaO没有正值，不能进行零替代
高钾,119,活动成分BaO没有正值，不能进行零替代
高钾,142,活动成分SrO在训练集中全缺失
高钾,158,活动成分BaO没有正值，不能进行零替代
高钾,249,活动成分BaO没有正值，不能进行零替代
高钾,250,活动成分BaO在训练集中全缺失
高钾,285,活动成分BaO没有正值，不能进行零替代
高钾,292,活动成分BaO没有正值，不能进行零替代
高钾,304,活动成分BaO没有正值，不能进行零替代
高钾,308,活动成分BaO没有正值，不能进行零替代
高钾,314,活动成分BaO没有正值，不能进行零替代
高钾,368,活动成分SrO在训练集中全缺失
高钾,396,活动成分BaO没有正值，不能进行零替代
高钾,464,活动成分BaO在训练集中全缺失
高钾,469,活动成分BaO在训练集中全缺失
高钾,477,活动成分BaO没有正值，不能进行零替代
高钾,508,活动成分BaO没有正值，不能进行零替代
高钾,525,活动成分BaO在训练集中全缺失
高钾,530,活动成分BaO在训练集中全缺失
高钾,554,活动成分PbO在训练集中全缺失
高钾,567,活动成分BaO没有正值，不能进行零替代
高钾,573,活动成分BaO没有正值，不能进行零替代
高钾,603,活动成分BaO在训练集中全缺失
高钾,680,活动成分BaO没有正值，不能进行零替代
高钾,763,活动成分BaO没有正值，不能进行零替代
高钾,798,活动成分SrO在训练集中全缺失
高钾,838,活动成分BaO没有正值，不能进行零替代
高钾,857,活动成分BaO没有正值，不能进行零替代
高钾,861,活动成分BaO在训练集中全缺失
高钾,894,活动成分SrO在训练集中全缺失
高钾,919,活动成分BaO没有正值，不能进行零替代
高钾,956,活动成分BaO没有正值，不能进行零替代
高钾,973,活动成分BaO没有正值，不能进行零替代
高钾,1025,活动成分BaO没有正值，不能进行零替代
高钾,1036,活动成分BaO没有正值，不能进行零替代
铅钡,7,活动成分SO2在训练集中全缺失
铅钡,90,活动成分SnO2在训练集中全缺失
铅钡,98,活动成分SO2在训练集中全缺失
铅钡,101,活动成分SnO2在训练集中全缺失
铅钡,118,活动成分SO2在训练集中全缺失
铅钡,165,活动成分SO2在训练集中全缺失
铅钡,175,活动成分SO2在训练集中全缺失
铅钡,177,活动成分SO2在训练集中全缺失
铅钡,185,活动成分SnO2在训练集中全缺失
铅钡,188,活动成分SO2在训练集中全缺失
铅钡,223,活动成分SO2在训练集中全缺失
铅钡,230,活动成分SO2在训练集中全缺失
铅钡,236,活动成分SnO2在训练集中全缺失
铅钡,241,活动成分SO2在训练集中全缺失
铅钡,257,活动成分SnO2在训练集中全缺失
铅钡,305,活动成分SO2在训练集中全缺失
铅钡,331,活动成分SO2在训练集中全缺失
铅钡,352,活动成分SO2在训练集中全缺失
铅钡,356,活动成分SO2在训练集中全缺失
铅钡,363,活动成分SO2在训练集中全缺失
铅钡,377,活动成分SO2在训练集中全缺失
铅钡,390,活动成分SO2在训练集中全缺失
铅钡,406,活动成分SO2在训练集中全缺失
铅钡,409,活动成分SO2在训练集中全缺失
铅钡,466,活动成分SO2在训练集中全缺失
铅钡,473,活动成分SO2在训练集中全缺失
铅钡,476,活动成分SO2在训练集中全缺失
铅钡,481,活动成分SO2在训练集中全缺失
铅钡,488,活动成分SnO2在训练集中全缺失
铅钡,490,活动成分SO2在训练集中全缺失
铅钡,494,活动成分SO2在训练集中全缺失
铅钡,512,活动成分SnO2在训练集中全缺失
铅钡,539,活动成分SO2在训练集中全缺失
铅钡,540,活动成分SO2在训练集中全缺失
铅钡,541,活动成分SO2在训练集中全缺失
铅钡,599,活动成分SO2在训练集中全缺失
铅钡,607,活动成分SO2在训练集中全缺失
铅钡,610,活动成分SO2在训练集中全缺失
铅钡,620,活动成分SO2在训练集中全缺失
铅钡,624,活动成分SO2在训练集中全缺失
铅钡,649,活动成分SO2在训练集中全缺失
铅钡,673,活动成分SO2在训练集中全缺失
铅钡,725,活动成分SO2在训练集中全缺失
铅钡,768,活动成分SO2在训练集中全缺失
铅钡,779,活动成分SnO2在训练集中全缺失
铅钡,785,活动成分SnO2在训练集中全缺失
铅钡,857,活动成分SO2在训练集中全缺失
铅钡,890,活动成分SO2在训练集中全缺失
铅钡,893,活动成分SO2在训练集中全缺失
铅钡,942,活动成分SO2在训练集中全缺失
铅钡,954,活动成分SnO2在训练集中全缺失
铅钡,979,活动成分SO2在训练集中全缺失
铅钡,999,活动成分SO2在训练集中全缺失
铅钡,1008,活动成分SO2在训练集中全缺失
