coordinate,SiO2,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO
ilr_1,0.7071067811865475,-0.7071067811865475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ilr_2,0.4082482904638631,0.4082482904638631,-0.8164965809277261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ilr_3,0.2886751345948129,0.2886751345948129,0.2886751345948129,-0.8660254037844387,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ilr_4,0.22360679774997896,0.22360679774997896,0.22360679774997896,0.22360679774997896,-0.8944271909999159,0.0,0.0,0.0,0.0,0.0,0.0
ilr_5,0.18257418583505536,0.18257418583505536,0.18257418583505536,0.18257418583505536,0.18257418583505536,-0.9128709291752769,0.0,0.0,0.0,0.0,0.0
ilr_6,0.1543033499620919,0.1543033499620919,0.1543033499620919,0.1543033499620919,0.1543033499620919,0.1543033499620919,-0.9258200997725514,0.0,0.0,0.0,0.0
ilr_7,0.1336306209562122,0.1336306209562122,0.1336306209562122,0.1336306209562122,0.1336306209562122,0.1336306209562122,0.1336306209562122,-0.9354143466934853,0.0,0.0,0.0
ilr_8,0.11785113019775793,0.11785113019775793,0.11785113019775793,0.11785113019775793,0.11785113019775793,0.11785113019775793,0.11785113019775793,0.11785113019775793,-0.9428090415820635,0.0,0.0
ilr_9,0.10540925533894598,0.10540925533894598,0.10540925533894598,0.10540925533894598,0.10540925533894598,0.10540925533894598,0.10540925533894598,0.10540925533894598,0.10540925533894598,-0.9486832980505138,0.0
ilr_10,0.09534625892455924,0.09534625892455924,0.09534625892455924,0.09534625892455924,0.09534625892455924,0.09534625892455924,0.09534625892455924,0.09534625892455924,0.09534625892455924,0.09534625892455924,-0.9534625892455924
