sample_point,glass_type,method,distance_to_unweathered_center,within_reference_envelope,numerical_failure
07,高钾,ILR_counterfactual_shift,1.7687817938009769,1,0
07,高钾,component_median_ratio_baseline,2.202872634193483,1,0
09,高钾,ILR_counterfactual_shift,1.1852966616912728,1,0
09,高钾,component_median_ratio_baseline,0.7971308781096302,1,0
10,高钾,ILR_counterfactual_shift,1.7446590090546261,1,0
10,高钾,component_median_ratio_baseline,1.7613836232142148,1,0
12,高钾,ILR_counterfactual_shift,1.0455298298930675,1,0
12,高钾,component_median_ratio_baseline,0.9122974328447282,1,0
22,高钾,ILR_counterfactual_shift,1.7857509860332166,1,0
22,高钾,component_median_ratio_baseline,1.7172251568137331,1,0
27,高钾,ILR_counterfactual_shift,1.7437034038281014,1,0
27,高钾,component_median_ratio_baseline,2.3229900507959176,1,0
02,铅钡,ILR_counterfactual_shift,2.4841865015329936,0,0
02,铅钡,component_median_ratio_baseline,2.568323920849947,0,0
08,铅钡,ILR_counterfactual_shift,2.552409333734549,0,0
08,铅钡,component_median_ratio_baseline,2.706448017343961,0,0
08严重风化点,铅钡,ILR_counterfactual_shift,2.822846187645364,0,0
08严重风化点,铅钡,component_median_ratio_baseline,2.970240929696944,0,0
11,铅钡,ILR_counterfactual_shift,1.9059060933021092,0,0
11,铅钡,component_median_ratio_baseline,1.9336377521288075,1,0
19,铅钡,ILR_counterfactual_shift,1.9476789915003698,0,0
19,铅钡,component_median_ratio_baseline,1.8396266109085795,1,0
26,铅钡,ILR_counterfactual_shift,2.868836665383432,0,0
26,铅钡,component_median_ratio_baseline,2.9860011080465347,0,0
26严重风化点,铅钡,ILR_counterfactual_shift,3.027280319497807,0,0
26严重风化点,铅钡,component_median_ratio_baseline,3.196656208926594,0,0
34,铅钡,ILR_counterfactual_shift,2.3893923895229805,0,0
34,铅钡,component_median_ratio_baseline,2.496454938070859,0,0
36,铅钡,ILR_counterfactual_shift,3.8752520517815445,0,0
36,铅钡,component_median_ratio_baseline,3.9754901245483323,0,0
38,铅钡,ILR_counterfactual_shift,2.23353961722353,0,0
38,铅钡,component_median_ratio_baseline,2.4849010292291376,0,0
39,铅钡,ILR_counterfactual_shift,1.9678195049306841,0,0
39,铅钡,component_median_ratio_baseline,1.9203485114915957,1,0
40,铅钡,ILR_counterfactual_shift,2.2253135844754177,0,0
40,铅钡,component_median_ratio_baseline,2.3101541890209516,1,0
41,铅钡,ILR_counterfactual_shift,2.5816200057455405,0,0
41,铅钡,component_median_ratio_baseline,2.5722432410379144,0,0
43部位1,铅钡,ILR_counterfactual_shift,1.942852610916143,0,0
43部位1,铅钡,component_median_ratio_baseline,1.7675418077697564,1,0
43部位2,铅钡,ILR_counterfactual_shift,2.1440631094609315,0,0
43部位2,铅钡,component_median_ratio_baseline,1.8809463555938752,1,0
48,铅钡,ILR_counterfactual_shift,2.9775126655622355,0,0
48,铅钡,component_median_ratio_baseline,3.0820917287676535,0,0
49,铅钡,ILR_counterfactual_shift,2.110041942725446,0,0
49,铅钡,component_median_ratio_baseline,1.938609918819746,1,0
50,铅钡,ILR_counterfactual_shift,1.590524132300886,0,0
50,铅钡,component_median_ratio_baseline,1.7761682300301604,1,0
51部位1,铅钡,ILR_counterfactual_shift,1.2388551826228351,0,0
51部位1,铅钡,component_median_ratio_baseline,1.2281920523970207,1,0
51部位2,铅钡,ILR_counterfactual_shift,1.6046761643095238,0,0
51部位2,铅钡,component_median_ratio_baseline,1.6935254544506073,1,0
52,铅钡,ILR_counterfactual_shift,1.6635704194477845,0,0
52,铅钡,component_median_ratio_baseline,1.9339212797452157,1,0
54,铅钡,ILR_counterfactual_shift,1.2219164670802742,0,0
54,铅钡,component_median_ratio_baseline,1.1279134272574205,1,0
54严重风化点,铅钡,ILR_counterfactual_shift,1.814239604344702,0,0
54严重风化点,铅钡,component_median_ratio_baseline,1.8994341605604934,1,0
56,铅钡,ILR_counterfactual_shift,0.9436363858018328,0,0
56,铅钡,component_median_ratio_baseline,1.2318077337379196,1,0
57,铅钡,ILR_counterfactual_shift,0.831408666745094,0,0
57,铅钡,component_median_ratio_baseline,1.1559173390826356,1,0
58,铅钡,ILR_counterfactual_shift,1.5700145737192595,0,0
58,铅钡,component_median_ratio_baseline,1.57860530696102,1,0
