repeat_id/final,feature_or_balance,numerator_components,denominator_components,coefficient,odds_ratio_per_sd,selected
r0_f0,钾_相对_铅钡,K2O,PbO+BaO,-5.502421106627846,0.004076888897218385,1
r0_f0,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-6.922165067558202,0.0009856935355390705,1
r0_f0,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-5.384745692043486,0.004586006431882985,1
r0_f1,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,3.2666161642747125,26.22245656039553,1
r0_f1,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,1.5435380464466466,4.681123037623467,1
r0_f2,钾_相对_铅钡,K2O,PbO+BaO,-1.2355268760458,0.290681568858813,1
r0_f2,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-0.38353740610911763,0.6814465873066029,1
r0_f3,钾_相对_铅钡,K2O,PbO+BaO,-0.1428608967257379,0.8668746456105658,1
r0_f4,钾_相对_铅钡,K2O,PbO+BaO,-5.94826030234918,0.0026103778386751225,1
r0_f4,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-7.229943086691344,0.0007245620992027918,1
r0_f4,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-5.601002249261496,0.003694159391942324,1
r1_f0,钾_相对_铅钡,K2O,PbO+BaO,-0.7157425915926953,0.488828976694123,1
r1_f1,钾_相对_铅钡,K2O,PbO+BaO,-0.5749855477688058,0.5627130012065793,1
r1_f1,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,0.41304146249616397,1.5114076913704577,1
r1_f2,钾_相对_铅钡,K2O,PbO+BaO,-7.626858817875088,0.0004871888060720707,1
r1_f2,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-9.597038985114684,6.792957949058008e-05,1
r1_f2,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-7.044528040584434,0.0008721683937639352,1
r1_f3,钾_相对_铅钡,K2O,PbO+BaO,-5.465356342065201,0.0042308331545621546,1
r1_f3,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-7.087005152781285,0.0008358970045392259,1
r1_f3,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-5.856126610825282,0.002862309075546444,1
r1_f4,钾_相对_铅钡,K2O,PbO+BaO,-7.634391060138698,0.0004835329675716317,1
r1_f4,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-10.080772505763592,4.187705452397119e-05,1
r1_f4,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-8.88882504808158,0.00013792161408269628,1
r2_f0,钾_相对_铅钡,K2O,PbO+BaO,-5.814502654858714,0.0029839640184941524,1
r2_f0,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-6.749722569415525,0.0011712045036728607,1
r2_f0,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-5.472171684435256,0.004202096614016027,1
r2_f1,钾_相对_铅钡,K2O,PbO+BaO,-5.008876760485849,0.006678400538249298,1
r2_f1,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-5.687780319448916,0.0033871029179213326,1
r2_f1,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-4.465357043468636,0.011500588816733036,1
r2_f2,钾_相对_铅钡,K2O,PbO+BaO,-1.3625203728489255,0.256014710605978,1
r2_f3,钾_相对_铅钡,K2O,PbO+BaO,-7.790488786724688,0.000413650647612351,1
r2_f3,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-10.164541752497714,3.851195857751039e-05,1
r2_f3,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-7.858656586409136,0.00038639260793607,1
r2_f4,钾_相对_铅钡,K2O,PbO+BaO,-1.1401779424928689,0.31976211748529443,1
r2_f4,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,0.6266427457732461,1.8713175328001552,1
r3_f0,钾_相对_铅钡,K2O,PbO+BaO,-4.434319897227907,0.011863131313166606,1
r3_f0,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-5.433923202032945,0.0043659337194775156,1
r3_f0,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-4.479503912768248,0.011339036911047127,1
r3_f1,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,2.1390509894124046,8.49137539876366,1
r3_f1,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,0.8184099429931365,2.266892482067106,1
r3_f2,钾_相对_铅钡,K2O,PbO+BaO,-5.365125620514862,0.004676872692499613,1
r3_f2,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-6.437869666489895,0.0015998111843363349,1
r3_f2,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-5.562029562243447,0.003840972987782059,1
r3_f3,钾_相对_铅钡,K2O,PbO+BaO,-6.567103528205271,0.001405863564708206,1
r3_f3,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-7.573107103116712,0.0005140926256925251,1
r3_f3,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-6.565835864264375,0.001407646857324071,1
r3_f4,钾_相对_铅钡,K2O,PbO+BaO,-0.15660084157934634,0.8550452892378962,1
r4_f0,钾_相对_铅钡,K2O,PbO+BaO,-5.58850993753502,0.0037405974379904525,1
r4_f0,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-6.776018254358779,0.0011408082753309992,1
r4_f0,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-5.699567838819292,0.0033474117663507474,1
r4_f1,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,2.8152570435243645,16.697467204584505,1
r4_f1,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,1.676087616341809,5.344604868723198,1
r4_f2,钾_相对_铅钡,K2O,PbO+BaO,-4.8002525356051144,0.008227669007269876,1
r4_f2,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-5.744907018005806,0.0031990319901885815,1
r4_f2,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-4.677200189430056,0.00930502977100308,1
r4_f3,钾_相对_铅钡,K2O,PbO+BaO,-5.688311977940901,0.003385302614507498,1
r4_f3,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-6.105318415224949,0.002230970881862475,1
r4_f3,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-4.706172133867097,0.009039312721354014,1
r4_f4,钾_相对_铅钡,K2O,PbO+BaO,-1.2922067346265422,0.2746640032682893,1
r5_f0,钾_相对_铅钡,K2O,PbO+BaO,-7.956384557029019,0.00035041774536163103,1
r5_f0,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-10.260004120595427,3.5005543594754416e-05,1
r5_f0,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-7.727218443773154,0.0004406681572010958,1
r5_f1,钾_相对_铅钡,K2O,PbO+BaO,-0.522558042120672,0.5930016828555854,1
r5_f1,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,0.35076571679652496,1.4201545685722345,1
r5_f2,钾_相对_铅钡,K2O,PbO+BaO,-0.6352991751567901,0.5297769684985406,1
r5_f2,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-0.19140813316869057,0.8257954848364345,1
r5_f3,钾_相对_铅钡,K2O,PbO+BaO,-4.788155154297476,0.008327806737444456,1
r5_f3,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-5.75628517047185,0.0031628392104097393,1
r5_f3,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-4.538077418249781,0.010693946788989384,1
r5_f4,钾_相对_铅钡,K2O,PbO+BaO,-7.845849540155983,0.00039137297979075755,1
r5_f4,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-9.15461151608071,0.00010573109612330195,1
r5_f4,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-8.083841239787121,0.00030848379641113444,1
r6_f0,钾_相对_铅钡,K2O,PbO+BaO,-4.836554269991299,0.00793434661942559,1
r6_f0,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-5.585690227510909,0.003751159722373907,1
r6_f0,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-4.684198664526514,0.009240136095133016,1
r6_f1,钾_相对_铅钡,K2O,PbO+BaO,-5.963250514558201,0.0025715395453224867,1
r6_f1,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-6.680108604464062,0.001255641596874317,1
r6_f1,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-6.1505334966562035,0.002132343868207722,1
r6_f2,钾_相对_铅钡,K2O,PbO+BaO,-0.5839513181443393,0.557690395062276,1
r6_f2,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,0.3201535460631761,1.3773392331173453,1
r6_f3,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,3.162457040629294,23.62858104764706,1
r6_f3,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,1.456314953076566,4.2901210660944304,1
r6_f4,钾_相对_铅钡,K2O,PbO+BaO,-6.294385657796646,0.001846643415607384,1
r6_f4,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-8.09323616701902,0.0003055991851654091,1
r6_f4,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-6.712001487612541,0.0012162274227802115,1
