model,repeat_id/aggregate,true_label,predicted_label,artifact_count
CART,0,0,0,10
CART,0,0,1,6
CART,0,1,0,5
CART,0,1,1,35
LDA,0,0,0,10
LDA,0,0,1,6
LDA,0,1,0,2
LDA,0,1,1,38
Logistic,0,0,0,11
Logistic,0,0,1,5
Logistic,0,1,0,7
Logistic,0,1,1,33
CART,1,0,0,9
CART,1,0,1,7
CART,1,1,0,3
CART,1,1,1,37
LDA,1,0,0,9
LDA,1,0,1,7
LDA,1,1,0,3
LDA,1,1,1,37
Logistic,1,0,0,10
Logistic,1,0,1,6
Logistic,1,1,0,7
Logistic,1,1,1,33
CART,2,0,0,10
CART,2,0,1,6
CART,2,1,0,2
CART,2,1,1,38
LDA,2,0,0,10
LDA,2,0,1,6
LDA,2,1,0,2
LDA,2,1,1,38
Logistic,2,0,0,12
Logistic,2,0,1,4
Logistic,2,1,0,5
Logistic,2,1,1,35
CART,3,0,0,10
CART,3,0,1,6
CART,3,1,0,8
CART,3,1,1,32
LDA,3,0,0,10
LDA,3,0,1,6
LDA,3,1,0,2
LDA,3,1,1,38
Logistic,3,0,0,12
Logistic,3,0,1,4
Logistic,3,1,0,6
Logistic,3,1,1,34
CART,4,0,0,11
CART,4,0,1,5
CART,4,1,0,5
CART,4,1,1,35
LDA,4,0,0,10
LDA,4,0,1,6
LDA,4,1,0,3
LDA,4,1,1,37
Logistic,4,0,0,10
Logistic,4,0,1,6
Logistic,4,1,0,10
Logistic,4,1,1,30
CART,5,0,0,11
CART,5,0,1,5
CART,5,1,0,5
CART,5,1,1,35
LDA,5,0,0,10
LDA,5,0,1,6
LDA,5,1,0,4
LDA,5,1,1,36
Logistic,5,0,0,12
Logistic,5,0,1,4
Logistic,5,1,0,6
Logistic,5,1,1,34
CART,6,0,0,10
CART,6,0,1,6
CART,6,1,0,2
CART,6,1,1,38
LDA,6,0,0,10
LDA,6,0,1,6
LDA,6,1,0,2
LDA,6,1,1,38
Logistic,6,0,0,11
Logistic,6,0,1,5
Logistic,6,1,0,5
Logistic,6,1,1,35
CART,7,0,0,10
CART,7,0,1,6
CART,7,1,0,7
CART,7,1,1,33
LDA,7,0,0,10
LDA,7,0,1,6
LDA,7,1,0,3
LDA,7,1,1,37
Logistic,7,0,0,12
Logistic,7,0,1,4
Logistic,7,1,0,7
Logistic,7,1,1,33
CART,8,0,0,10
CART,8,0,1,6
CART,8,1,0,3
CART,8,1,1,37
LDA,8,0,0,9
LDA,8,0,1,7
LDA,8,1,0,1
LDA,8,1,1,39
