model_a,model_b,metric,paired_difference,ci_low,ci_high,selection_decision,reason
Logistic,CART,balanced_accuracy,0.028437499999999998,-0.02828125000000001,0.08750000000000002,higher_better,same_artifacts_same_outer_splits_paired_across_20_repeats
Logistic,CART,macro_f1,0.01706588516149754,-0.047857510734124815,0.07308052594433372,higher_better,same_artifacts_same_outer_splits_paired_across_20_repeats
Logistic,CART,roc_auc,0.05847656249999998,-0.03019531249999998,0.15808593749999983,higher_better,same_artifacts_same_outer_splits_paired_across_20_repeats
Logistic,CART,brier,-0.010623578141124442,-0.06341286847369018,0.031299443439352814,lower_better,same_artifacts_same_outer_splits_paired_across_20_repeats
Logistic,LDA,balanced_accuracy,0.00187500000000001,-0.05656249999999997,0.09078125000000001,higher_better,same_artifacts_same_outer_splits_paired_across_20_repeats
Logistic,LDA,macro_f1,-0.022337624768435503,-0.07948555677024575,0.03933585475678063,higher_better,same_artifacts_same_outer_splits_paired_across_20_repeats
Logistic,LDA,roc_auc,0.011640624999999998,-0.04792968750000001,0.08007812499999994,higher_better,same_artifacts_same_outer_splits_paired_across_20_repeats
Logistic,LDA,brier,0.01741150742202341,-0.004574520401460265,0.042600927232727924,lower_better,same_artifacts_same_outer_splits_paired_across_20_repeats
CART,LDA,balanced_accuracy,-0.02656249999999999,-0.07499999999999996,0.018749999999999992,higher_better,same_artifacts_same_outer_splits_paired_across_20_repeats
CART,LDA,macro_f1,-0.039403509929933044,-0.10514975220857581,0.008787851929753432,higher_better,same_artifacts_same_outer_splits_paired_across_20_repeats
CART,LDA,roc_auc,-0.04683593749999999,-0.09904296875000004,0.05312499999999987,higher_better,same_artifacts_same_outer_splits_paired_across_20_repeats
CART,LDA,brier,0.028035085563147856,0.0017702712906601022,0.07708320518177937,lower_better,same_artifacts_same_outer_splits_paired_across_20_repeats
