glass_type,method,k,iteration,ari,selected_features,feature_jaccard,failed,failure_reason
高钾,Ward,2,0,0.2,SiO2+Al2O3+CaO,0.3333333333333333,0,
高钾,Ward,3,0,0.18333333333333332,SiO2+Al2O3+CaO,0.3333333333333333,0,
高钾,Ward,4,0,0.25252525252525254,SiO2+Al2O3+CaO,0.3333333333333333,0,
高钾,Ward,5,0,0.3063583815028902,SiO2+Al2O3+CaO,0.3333333333333333,0,
高钾,Ward,2,1,-0.06779661016949153,P2O5+Al2O3,0.4,0,
高钾,Ward,3,1,0.33640552995391704,P2O5+Al2O3,0.4,0,
高钾,Ward,4,1,0.2701252236135957,P2O5+Al2O3,0.4,0,
高钾,Ward,5,1,0.5750708215297451,P2O5+Al2O3,0.4,0,
高钾,Ward,2,2,0.0924092409240924,MgO+SiO2+Al2O3,0.3333333333333333,0,
高钾,Ward,3,2,0.07259177477228816,MgO+SiO2+Al2O3,0.3333333333333333,0,
高钾,Ward,4,2,0.10152740341419586,MgO+SiO2+Al2O3,0.3333333333333333,0,
高钾,Ward,5,2,0.11231884057971014,MgO+SiO2+Al2O3,0.3333333333333333,0,
高钾,Ward,2,3,0.0924092409240924,SiO2+Fe2O3+Al2O3+P2O5,0.5,0,
高钾,Ward,3,3,0.09467455621301775,SiO2+Fe2O3+Al2O3+P2O5,0.5,0,
高钾,Ward,4,3,0.328149300155521,SiO2+Fe2O3+Al2O3+P2O5,0.5,0,
高钾,Ward,5,3,0.48990435706695007,SiO2+Fe2O3+Al2O3+P2O5,0.5,0,
高钾,Ward,2,4,1.0,K2O+SiO2+P2O5+Al2O3+MgO,0.6666666666666666,0,
高钾,Ward,3,4,0.3775933609958506,K2O+SiO2+P2O5+Al2O3+MgO,0.6666666666666666,0,
高钾,Ward,4,4,0.449400968646444,K2O+SiO2+P2O5+Al2O3+MgO,0.6666666666666666,0,
高钾,Ward,5,4,0.28383862497015994,K2O+SiO2+P2O5+Al2O3+MgO,0.6666666666666666,0,
高钾,Ward,2,5,1.0,SiO2+K2O+Al2O3+CuO,0.8,0,
高钾,Ward,3,5,1.0,SiO2+K2O+Al2O3+CuO,0.8,0,
高钾,Ward,4,5,0.49473684210526314,SiO2+K2O+Al2O3+CuO,0.8,0,
高钾,Ward,5,5,0.6120689655172413,SiO2+K2O+Al2O3+CuO,0.8,0,
高钾,Ward,2,6,-0.09871244635193133,Fe2O3+Al2O3+K2O+CuO+P2O5,0.6666666666666666,0,
高钾,Ward,3,6,0.22540666150271108,Fe2O3+Al2O3+K2O+CuO+P2O5,0.6666666666666666,0,
高钾,Ward,4,6,0.07716785998408911,Fe2O3+Al2O3+K2O+CuO+P2O5,0.6666666666666666,0,
高钾,Ward,5,6,0.3422083007047768,Fe2O3+Al2O3+K2O+CuO+P2O5,0.6666666666666666,0,
高钾,Ward,2,7,1.0,SiO2+K2O+Fe2O3+P2O5+CuO,0.6666666666666666,0,
高钾,Ward,3,7,0.4205298013245033,SiO2+K2O+Fe2O3+P2O5+CuO,0.6666666666666666,0,
高钾,Ward,4,7,0.42180616740088106,SiO2+K2O+Fe2O3+P2O5+CuO,0.6666666666666666,0,
高钾,Ward,5,7,0.39862542955326463,SiO2+K2O+Fe2O3+P2O5+CuO,0.6666666666666666,0,
高钾,Ward,2,8,0.0171990171990172,SiO2+CuO+P2O5+Fe2O3,0.5,0,
高钾,Ward,3,8,0.3424657534246575,SiO2+CuO+P2O5+Fe2O3,0.5,0,
高钾,Ward,4,8,0.4729444834855938,SiO2+CuO+P2O5+Fe2O3,0.5,0,
高钾,Ward,5,8,0.2995169082125604,SiO2+CuO+P2O5+Fe2O3,0.5,0,
高钾,Ward,2,9,0.7311827956989247,Al2O3+SiO2+CuO+P2O5,0.8,0,
高钾,Ward,3,9,0.7508305647840532,Al2O3+SiO2+CuO+P2O5,0.8,0,
高钾,Ward,4,9,0.4703448275862069,Al2O3+SiO2+CuO+P2O5,0.8,0,
高钾,Ward,5,9,0.5431472081218274,Al2O3+SiO2+CuO+P2O5,0.8,0,
高钾,Ward,2,10,0.0924092409240924,SiO2+Fe2O3+CuO,0.3333333333333333,0,
高钾,Ward,3,10,0.22932330827067668,SiO2+Fe2O3+CuO,0.3333333333333333,0,
高钾,Ward,4,10,0.308659217877095,SiO2+Fe2O3+CuO,0.3333333333333333,0,
高钾,Ward,5,10,0.4301543332014246,SiO2+Fe2O3+CuO,0.3333333333333333,0,
高钾,Ward,2,11,0.31976744186046513,P2O5+SiO2+Al2O3+MgO,0.5,0,
高钾,Ward,3,11,0.355726872246696,P2O5+SiO2+Al2O3+MgO,0.5,0,
高钾,Ward,4,11,0.1409090909090909,P2O5+SiO2+Al2O3+MgO,0.5,0,
高钾,Ward,5,11,0.05936454849498328,P2O5+SiO2+Al2O3+MgO,0.5,0,
高钾,Ward,2,12,0.16666666666666666,SiO2+CuO+P2O5,0.6,0,
高钾,Ward,3,12,0.23820038642009383,SiO2+CuO+P2O5,0.6,0,
高钾,Ward,4,12,0.3052109181141439,SiO2+CuO+P2O5,0.6,0,
高钾,Ward,5,12,0.45158526135389887,SiO2+CuO+P2O5,0.6,0,
高钾,Ward,2,13,0.0171990171990172,SiO2+CaO+Al2O3,0.3333333333333333,0,
高钾,Ward,3,13,-0.0844306738962045,SiO2+CaO+Al2O3,0.3333333333333333,0,
高钾,Ward,4,13,0.2602970019613337,SiO2+CaO+Al2O3,0.3333333333333333,0,
高钾,Ward,5,13,0.15801291046870614,SiO2+CaO+Al2O3,0.3333333333333333,0,
高钾,Ward,2,14,-0.09871244635193133,MgO+Fe2O3+SiO2+CuO+P2O5,0.42857142857142855,0,
高钾,Ward,3,14,0.2680986475735879,MgO+Fe2O3+SiO2+CuO+P2O5,0.42857142857142855,0,
高钾,Ward,4,14,0.14152410575427682,MgO+Fe2O3+SiO2+CuO+P2O5,0.42857142857142855,0,
高钾,Ward,5,14,0.2566025432018259,MgO+Fe2O3+SiO2+CuO+P2O5,0.42857142857142855,0,
高钾,Ward,2,15,1.0,P2O5+SiO2+CuO,0.6,0,
高钾,Ward,3,15,0.7889182058047494,P2O5+SiO2+CuO,0.6,0,
高钾,Ward,4,15,0.4379391100702576,P2O5+SiO2+CuO,0.6,0,
高钾,Ward,5,15,0.3119266055045872,P2O5+SiO2+CuO,0.6,0,
高钾,Ward,2,16,0.0924092409240924,CuO+SiO2+Fe2O3,0.3333333333333333,0,
高钾,Ward,3,16,-0.06349206349206349,CuO+SiO2+Fe2O3,0.3333333333333333,0,
高钾,Ward,4,16,0.21951219512195122,CuO+SiO2+Fe2O3,0.3333333333333333,0,
高钾,Ward,5,16,0.3284365162644281,CuO+SiO2+Fe2O3,0.3333333333333333,0,
高钾,Ward,2,17,1.0,SiO2+Al2O3+K2O+CuO,0.8,0,
高钾,Ward,3,17,0.2905405405405405,SiO2+Al2O3+K2O+CuO,0.8,0,
高钾,Ward,4,17,0.22714887292543967,SiO2+Al2O3+K2O+CuO,0.8,0,
高钾,Ward,5,17,0.11994322214336409,SiO2+Al2O3+K2O+CuO,0.8,0,
高钾,Ward,2,18,1.0,PbO+P2O5+Al2O3+K2O,0.5,0,
高钾,Ward,3,18,0.3368333793865709,PbO+P2O5+Al2O3+K2O,0.5,0,
高钾,Ward,4,18,0.6410116943160185,PbO+P2O5+Al2O3+K2O,0.5,0,
高钾,Ward,5,18,0.6574225122349103,PbO+P2O5+Al2O3+K2O,0.5,0,
高钾,Ward,2,19,1.0,SiO2+P2O5+K2O,0.6,0,
高钾,Ward,3,19,1.0,SiO2+P2O5+K2O,0.6,0,
高钾,Ward,4,19,0.3306891422905305,SiO2+P2O5+K2O,0.6,0,
高钾,Ward,5,19,0.25735637552545537,SiO2+P2O5+K2O,0.6,0,
高钾,Ward,2,20,-0.0784313725490196,Al2O3+CaO+P2O5,0.3333333333333333,0,
高钾,Ward,3,20,0.39849624060150374,Al2O3+CaO+P2O5,0.3333333333333333,0,
高钾,Ward,4,20,0.2572944297082228,Al2O3+CaO+P2O5,0.3333333333333333,0,
高钾,Ward,5,20,0.4520547945205479,Al2O3+CaO+P2O5,0.3333333333333333,0,
高钾,Ward,2,21,-0.12903225806451613,CuO+K2O+Fe2O3,0.3333333333333333,0,
高钾,Ward,3,21,0.36893203883495146,CuO+K2O+Fe2O3,0.3333333333333333,0,
高钾,Ward,4,21,0.5365517241379311,CuO+K2O+Fe2O3,0.3333333333333333,0,
高钾,Ward,5,21,0.5037220843672456,CuO+K2O+Fe2O3,0.3333333333333333,0,
高钾,Ward,2,22,0.7457627118644068,Al2O3+CaO+SiO2,0.3333333333333333,0,
高钾,Ward,3,22,0.2599118942731278,Al2O3+CaO+SiO2,0.3333333333333333,0,
高钾,Ward,4,22,0.20361990950226244,Al2O3+CaO+SiO2,0.3333333333333333,0,
高钾,Ward,5,22,0.13615023474178403,Al2O3+CaO+SiO2,0.3333333333333333,0,
高钾,Ward,2,23,0.5333333333333333,SiO2+CuO+P2O5,0.6,0,
高钾,Ward,3,23,0.2833333333333333,SiO2+CuO+P2O5,0.6,0,
高钾,Ward,4,23,0.45,SiO2+CuO+P2O5,0.6,0,
高钾,Ward,5,23,0.4927536231884058,SiO2+CuO+P2O5,0.6,0,
高钾,Ward,2,24,1.0,Al2O3+SiO2+K2O,0.6,0,
