glass_type,feature_version,method,k,silhouette,calinski_harabasz,davies_bouldin,bic,bootstrap_ari_median,bootstrap_ari_p10,prediction_strength,min_cluster_size,feasible,selected,selection_reason,infeasible_reason
高钾,Al2O3+SiO2+K2O+P2O5+CuO,Ward,2,0.4540856661096005,11.696011258844798,0.8511564880299783,,0.47761194029850745,-0.0847457627118644,1.0,4,1,0,exploratory_best_but_no_stable_subclass,
高钾,Al2O3+SiO2+K2O+P2O5+CuO,Ward,3,,,,,0.4426751592356688,0.0803707553707554,0.6666666666666666,1,0,0,not_selected,min_cluster_lt_3_or_missing_cluster
高钾,Al2O3+SiO2+K2O+P2O5+CuO,Ward,4,,,,,0.41256459069893936,0.14504034193220572,0.3333333333333333,1,0,0,not_selected,min_cluster_lt_3_or_missing_cluster
高钾,Al2O3+SiO2+K2O+P2O5+CuO,Ward,5,,,,,0.390926147023708,0.14946558817526562,0.06666666666666667,1,0,0,not_selected,min_cluster_lt_3_or_missing_cluster
高钾,Al2O3+SiO2+K2O+P2O5+CuO,KMeans,2,0.4540856661096005,11.696011258844798,0.8511564880299783,,,,,4,1,0,pending_stability,
高钾,Al2O3+SiO2+K2O+P2O5+CuO,KMeans,3,,,,,,,,1,0,0,pending_stability,min_cluster_lt_3_or_missing_cluster
高钾,Al2O3+SiO2+K2O+P2O5+CuO,KMeans,4,,,,,,,,1,0,0,pending_stability,min_cluster_lt_3_or_missing_cluster
高钾,Al2O3+SiO2+K2O+P2O5+CuO,KMeans,5,,,,,,,,1,0,0,pending_stability,min_cluster_lt_3_or_missing_cluster
高钾,Al2O3+SiO2+K2O+P2O5+CuO,GMM_diag,2,,,,110.30588241265666,,,,1,0,0,pending_stability,min_cluster_lt_3_or_missing_cluster
高钾,Al2O3+SiO2+K2O+P2O5+CuO,GMM_diag,3,,,,102.77761486306991,,,,1,0,0,pending_stability,min_cluster_lt_3_or_missing_cluster
