glass_type,iteration,reason
高钾,35,活动成分BaO没有正值，不能进行零替代
高钾,37,活动成分BaO没有正值，不能进行零替代
高钾,55,活动成分BaO没有正值，不能进行零替代
高钾,61,活动成分BaO没有正值，不能进行零替代
高钾,84,活动成分BaO没有正值，不能进行零替代
高钾,91,活动成分BaO没有正值，不能进行零替代
高钾,151,活动成分SrO在训练集中全缺失
高钾,218,活动成分BaO没有正值，不能进行零替代
高钾,228,活动成分BaO在训练集中全缺失
高钾,234,活动成分BaO在训练集中全缺失
高钾,375,活动成分BaO没有正值，不能进行零替代
高钾,397,活动成分BaO没有正值，不能进行零替代
高钾,416,活动成分BaO没有正值，不能进行零替代
高钾,435,活动成分BaO没有正值，不能进行零替代
高钾,437,活动成分BaO在训练集中全缺失
高钾,452,活动成分BaO没有正值，不能进行零替代
高钾,460,活动成分BaO在训练集中全缺失
高钾,504,活动成分BaO没有正值，不能进行零替代
高钾,519,活动成分BaO没有正值，不能进行零替代
高钾,594,活动成分BaO没有正值，不能进行零替代
高钾,612,活动成分BaO没有正值，不能进行零替代
高钾,623,活动成分BaO没有正值，不能进行零替代
高钾,656,活动成分BaO没有正值，不能进行零替代
高钾,673,活动成分BaO没有正值，不能进行零替代
高钾,678,活动成分BaO没有正值，不能进行零替代
高钾,705,活动成分BaO没有正值，不能进行零替代
高钾,761,活动成分BaO没有正值，不能进行零替代
高钾,832,活动成分BaO没有正值，不能进行零替代
高钾,894,活动成分BaO没有正值，不能进行零替代
高钾,977,活动成分BaO没有正值，不能进行零替代
铅钡,17,活动成分SO2在训练集中全缺失
铅钡,22,活动成分SO2在训练集中全缺失
铅钡,25,活动成分SO2在训练集中全缺失
铅钡,67,活动成分SnO2在训练集中全缺失
铅钡,68,活动成分SnO2在训练集中全缺失
铅钡,71,活动成分SO2在训练集中全缺失
铅钡,73,活动成分SO2在训练集中全缺失
铅钡,78,活动成分SO2在训练集中全缺失
铅钡,84,活动成分SO2在训练集中全缺失
铅钡,98,活动成分SO2在训练集中全缺失
铅钡,129,活动成分SO2在训练集中全缺失
铅钡,139,活动成分SO2在训练集中全缺失
铅钡,143,活动成分SO2在训练集中全缺失
铅钡,158,活动成分SO2在训练集中全缺失
铅钡,189,活动成分SO2在训练集中全缺失
铅钡,196,活动成分SO2在训练集中全缺失
铅钡,205,活动成分SO2在训练集中全缺失
铅钡,229,活动成分SO2在训练集中全缺失
铅钡,237,活动成分SnO2在训练集中全缺失
铅钡,243,活动成分SO2在训练集中全缺失
铅钡,256,活动成分SO2在训练集中全缺失
铅钡,303,活动成分SO2在训练集中全缺失
铅钡,312,活动成分SnO2在训练集中全缺失
铅钡,413,活动成分SnO2在训练集中全缺失
铅钡,493,活动成分SO2在训练集中全缺失
铅钡,529,活动成分SO2在训练集中全缺失
铅钡,561,活动成分SnO2在训练集中全缺失
铅钡,580,活动成分SnO2在训练集中全缺失
铅钡,589,活动成分SO2在训练集中全缺失
铅钡,641,活动成分SO2在训练集中全缺失
铅钡,660,活动成分SO2在训练集中全缺失
铅钡,661,活动成分SO2在训练集中全缺失
铅钡,672,活动成分SO2在训练集中全缺失
铅钡,673,活动成分SO2在训练集中全缺失
铅钡,725,活动成分SnO2在训练集中全缺失
铅钡,741,活动成分SO2在训练集中全缺失
铅钡,776,活动成分SnO2在训练集中全缺失
铅钡,790,活动成分SO2在训练集中全缺失
铅钡,806,活动成分SO2在训练集中全缺失
铅钡,808,活动成分SnO2在训练集中全缺失
铅钡,822,活动成分SO2在训练集中全缺失
铅钡,825,活动成分SO2在训练集中全缺失
铅钡,869,活动成分SO2在训练集中全缺失
铅钡,893,活动成分SO2在训练集中全缺失
铅钡,924,活动成分SnO2在训练集中全缺失
铅钡,933,活动成分SO2在训练集中全缺失
铅钡,947,活动成分SO2在训练集中全缺失
铅钡,953,活动成分SO2在训练集中全缺失
铅钡,961,活动成分SO2在训练集中全缺失
铅钡,967,活动成分SO2在训练集中全缺失
铅钡,980,活动成分SO2在训练集中全缺失
铅钡,983,活动成分SO2在训练集中全缺失
铅钡,987,活动成分SO2在训练集中全缺失
铅钡,989,活动成分SO2在训练集中全缺失
