glass_type,component,detection_rate,missing_rate,active_main,exclusion_reason
高钾,SiO2,1.0,0.0,1,
高钾,Na2O,0.16666666666666666,0.8333333333333334,0,lt5_observed
高钾,K2O,0.8333333333333334,0.16666666666666663,1,
高钾,CaO,0.8888888888888888,0.11111111111111116,1,
高钾,MgO,0.6666666666666666,0.33333333333333337,1,
高钾,Al2O3,1.0,0.0,1,
高钾,Fe2O3,0.8888888888888888,0.11111111111111116,1,
高钾,CuO,0.9444444444444444,0.05555555555555558,1,
高钾,PbO,0.3888888888888889,0.6111111111111112,1,
高钾,BaO,0.2777777777777778,0.7222222222222222,0,detection_rate_lt_0.30
高钾,P2O5,0.8888888888888888,0.11111111111111116,1,
高钾,SrO,0.3333333333333333,0.6666666666666667,1,
高钾,SnO2,0.05555555555555555,0.9444444444444444,0,lt5_observed
高钾,SO2,0.16666666666666666,0.8333333333333334,0,lt5_observed
铅钡,SiO2,1.0,0.0,1,
铅钡,Na2O,0.2857142857142857,0.7142857142857143,0,detection_rate_lt_0.30
铅钡,K2O,0.4897959183673469,0.5102040816326531,1,
铅钡,CaO,0.9183673469387755,0.08163265306122447,1,
铅钡,MgO,0.6122448979591837,0.3877551020408163,1,
铅钡,Al2O3,1.0,0.0,1,
铅钡,Fe2O3,0.5510204081632653,0.44897959183673475,1,
铅钡,CuO,0.9183673469387755,0.08163265306122447,1,
铅钡,PbO,1.0,0.0,1,
铅钡,BaO,0.9387755102040817,0.061224489795918324,1,
铅钡,P2O5,0.8367346938775511,0.16326530612244894,1,
铅钡,SrO,0.8163265306122449,0.18367346938775508,1,
铅钡,SnO2,0.10204081632653061,0.8979591836734694,0,detection_rate_lt_0.30
铅钡,SO2,0.10204081632653061,0.8979591836734694,0,detection_rate_lt_0.30
