glass_type,component_j,component_k,partial_corr,shrinkage_parameter,ci_low,ci_high
高钾,SiO2,K2O,-0.25047150511203203,0.31012075381711696,-0.40987252982184286,-0.027866336018141053
高钾,SiO2,CaO,-0.15965092415174328,0.31012075381711696,-0.3023251350896559,-0.0005667564196063114
高钾,SiO2,MgO,0.08335651849732933,0.31012075381711696,-0.004695815076320702,0.17492527556324988
高钾,SiO2,Al2O3,-0.032241023553568955,0.31012075381711696,-0.15739308755126521,0.08312005636865415
高钾,SiO2,Fe2O3,-0.4180138559339372,0.31012075381711696,-0.6443704659633296,-0.22787535344920348
高钾,SiO2,CuO,-0.008185458868869164,0.31012075381711696,-0.20228359171492277,0.10976286364934282
高钾,SiO2,PbO,0.035930055691578346,0.31012075381711696,-0.11654151725037735,0.21574642151495488
高钾,SiO2,P2O5,-0.07454703769718117,0.31012075381711696,-0.24032675152147714,0.0926049215309791
高钾,SiO2,SrO,0.1980621590879907,0.31012075381711696,0.12044214588856188,0.3015951796656556
高钾,K2O,CaO,0.11869050486985826,0.31012075381711696,-0.1442001397785112,0.3451159584514885
高钾,K2O,MgO,-0.29017456145545345,0.31012075381711696,-0.5178989315554818,-0.11008148300961797
高钾,K2O,Al2O3,-0.02813533515942668,0.31012075381711696,-0.21069191152895553,0.12825041156620037
高钾,K2O,Fe2O3,-0.42050614655409413,0.31012075381711696,-0.6445741869630741,-0.038585560882654184
高钾,K2O,CuO,0.01052288824124686,0.31012075381711696,-0.26007036825328167,0.22517177344245365
高钾,K2O,PbO,-0.1044080350462792,0.31012075381711696,-0.2802210209648523,0.03816597370829308
高钾,K2O,P2O5,-0.026647423706300688,0.31012075381711696,-0.2256018098899825,0.16712681819497127
高钾,K2O,SrO,-0.24042012664413928,0.31012075381711696,-0.38306043439913523,-0.0724864544363516
高钾,CaO,MgO,-0.19011451521129885,0.31012075381711696,-0.3497373585899254,-0.037077388330499936
高钾,CaO,Al2O3,0.2237572067267426,0.31012075381711696,-0.06395068249402214,0.35577677384344003
高钾,CaO,Fe2O3,0.11229675525763302,0.31012075381711696,-0.10798592590388392,0.309656849567303
高钾,CaO,CuO,-0.2068507250337685,0.31012075381711696,-0.3856274631113816,0.08792682664616068
高钾,CaO,PbO,-0.23139421969124868,0.31012075381711696,-0.5117066808141643,0.0043266770601368965
高钾,CaO,P2O5,-0.30645331073374216,0.31012075381711696,-0.5297533400877529,0.00848073713186029
高钾,CaO,SrO,-0.21303499316093388,0.31012075381711696,-0.35293075842206106,-0.09309304604431791
高钾,MgO,Al2O3,-0.10841876054445004,0.31012075381711696,-0.2723124020907169,0.05648976653879416
高钾,MgO,Fe2O3,-0.027963007528349286,0.31012075381711696,-0.17270559355419973,0.10517439122595912
高钾,MgO,CuO,0.03960207026541339,0.31012075381711696,-0.15199271853147467,0.18243529797930533
高钾,MgO,PbO,-0.01995756715191322,0.31012075381711696,-0.2398381806919301,0.0673994444972439
高钾,MgO,P2O5,0.009361566591490386,0.31012075381711696,-0.1881288672410169,0.1355721028270032
高钾,MgO,SrO,0.030313591192192384,0.31012075381711696,-0.11459079534095519,0.1285609901265912
高钾,Al2O3,Fe2O3,-0.008236283995833604,0.31012075381711696,-0.11358061474494621,0.17106411427575755
高钾,Al2O3,CuO,-0.31312226644464153,0.31012075381711696,-0.4844616024949867,-0.10543991207745475
高钾,Al2O3,PbO,-0.06729707201953718,0.31012075381711696,-0.2554814375807357,0.0967340956881128
高钾,Al2O3,P2O5,-0.14453646120231128,0.31012075381711696,-0.39163788174348596,0.03282464318809235
高钾,Al2O3,SrO,0.008424257012797365,0.31012075381711696,-0.09860282478991482,0.11280361671071545
高钾,Fe2O3,CuO,-0.011922408018592155,0.31012075381711696,-0.29233893302593217,0.18501185754037225
高钾,Fe2O3,PbO,-0.08656186694557301,0.31012075381711696,-0.27888367836109546,0.12850802082349505
高钾,Fe2O3,P2O5,0.11398751481303662,0.31012075381711696,-0.08580097370140992,0.22013045021046562
