task,scenario,model,metric_or_claim,main_value,scenario_value,absolute_change,relative_change,sign_or_label_changed,conclusion_grade,source_file
1.1,color_unknown_level,task_main,reported_fields,,,,,,见原敏感性表,results/01_q1/q1_1_sensitivity.csv
1.1,color_complete_case,task_main,reported_fields,,,,,,见原敏感性表,results/01_q1/q1_1_sensitivity.csv
1.1,rare_color_merged,task_main,reported_fields,,,,,,见原敏感性表,results/01_q1/q1_1_sensitivity.csv
1.1,leave_one_artifact_out,task_main,reported_fields,,,,,,见原敏感性表,results/01_q1/q1_1_sensitivity.csv
1.1,leave_one_artifact_out,task_main,reported_fields,,,,,,见原敏感性表,results/01_q1/q1_1_sensitivity.csv
1.2,zero_c_0.25,task_main,reported_fields,,,,,,stable,results/01_q1/q1_2_sensitivity.csv
1.2,zero_c_0.5,task_main,reported_fields,,,,,,stable,results/01_q1/q1_2_sensitivity.csv
1.2,zero_c_0.75,task_main,reported_fields,,,,,,stable,results/01_q1/q1_2_sensitivity.csv
1.2,include_invalid_15_17,task_main,reported_fields,,,,,,stable,results/01_q1/q1_2_sensitivity.csv
1.2,all_points_inherit_artifact_weathering,task_main,reported_fields,,,,,,stable,results/01_q1/q1_2_sensitivity.csv
1.2,zero_c_0.25,task_main,reported_fields,,,,,,stable,results/01_q1/q1_2_sensitivity.csv
1.2,zero_c_0.5,task_main,reported_fields,,,,,,stable,results/01_q1/q1_2_sensitivity.csv
1.2,zero_c_0.75,task_main,reported_fields,,,,,,stable,results/01_q1/q1_2_sensitivity.csv
1.2,include_invalid_15_17,task_main,reported_fields,,,,,,stable,results/01_q1/q1_2_sensitivity.csv
1.2,all_points_inherit_artifact_weathering,task_main,reported_fields,,,,,,stable,results/01_q1/q1_2_sensitivity.csv
1.3,componentwise_pm_5pct_phase0,task_main,reported_fields,,,,0.0330865150730827,,见原敏感性表,results/01_q1/q1_3_sensitivity.csv
1.3,componentwise_pm_5pct_phase0,task_main,reported_fields,,,,-0.0161080808827784,,见原敏感性表,results/01_q1/q1_3_sensitivity.csv
1.3,componentwise_pm_5pct_phase0,task_main,reported_fields,,,,-0.0653026768386405,,见原敏感性表,results/01_q1/q1_3_sensitivity.csv
1.3,componentwise_pm_5pct_phase0,task_main,reported_fields,,,,-0.0161080808827784,,见原敏感性表,results/01_q1/q1_3_sensitivity.csv
1.3,componentwise_pm_5pct_phase0,task_main,reported_fields,,,,-0.06530267683864,,见原敏感性表,results/01_q1/q1_3_sensitivity.csv
1.3,componentwise_pm_5pct_phase0,task_main,reported_fields,,,,0.0330865150730829,,见原敏感性表,results/01_q1/q1_3_sensitivity.csv
1.3,componentwise_pm_5pct_phase0,task_main,reported_fields,,,,-0.0653026768386401,,见原敏感性表,results/01_q1/q1_3_sensitivity.csv
1.3,componentwise_pm_5pct_phase0,task_main,reported_fields,,,,-0.0161080808827781,,见原敏感性表,results/01_q1/q1_3_sensitivity.csv
1.3,componentwise_pm_5pct_phase0,task_main,reported_fields,,,,-0.0161080808827784,,见原敏感性表,results/01_q1/q1_3_sensitivity.csv
1.3,componentwise_pm_5pct_phase0,task_main,reported_fields,,,,0.0330865150730827,,见原敏感性表,results/01_q1/q1_3_sensitivity.csv
1.3,componentwise_pm_5pct_phase0,task_main,reported_fields,,,,-0.0161080808827793,,见原敏感性表,results/01_q1/q1_3_sensitivity.csv
1.3,componentwise_pm_5pct_phase1,task_main,reported_fields,,,,-0.0341879185887657,,见原敏感性表,results/01_q1/q1_3_sensitivity.csv
1.3,componentwise_pm_5pct_phase1,task_main,reported_fields,,,,0.0166442962223516,,见原敏感性表,results/01_q1/q1_3_sensitivity.csv
1.3,componentwise_pm_5pct_phase1,task_main,reported_fields,,,,0.0674765110334695,,见原敏感性表,results/01_q1/q1_3_sensitivity.csv
1.3,componentwise_pm_5pct_phase1,task_main,reported_fields,,,,0.0166442962223524,,见原敏感性表,results/01_q1/q1_3_sensitivity.csv
1.3,componentwise_pm_5pct_phase1,task_main,reported_fields,,,,0.067476511033469,,见原敏感性表,results/01_q1/q1_3_sensitivity.csv
1.3,componentwise_pm_5pct_phase1,task_main,reported_fields,,,,-0.0341879185887639,,见原敏感性表,results/01_q1/q1_3_sensitivity.csv
1.3,componentwise_pm_5pct_phase1,task_main,reported_fields,,,,0.0674765110334702,,见原敏感性表,results/01_q1/q1_3_sensitivity.csv
1.3,componentwise_pm_5pct_phase1,task_main,reported_fields,,,,0.0166442962223524,,见原敏感性表,results/01_q1/q1_3_sensitivity.csv
1.3,componentwise_pm_5pct_phase1,task_main,reported_fields,,,,0.0166442962223524,,见原敏感性表,results/01_q1/q1_3_sensitivity.csv
1.3,componentwise_pm_5pct_phase1,task_main,reported_fields,,,,-0.0341879185887649,,见原敏感性表,results/01_q1/q1_3_sensitivity.csv
1.3,componentwise_pm_5pct_phase1,task_main,reported_fields,,,,0.0166442962223523,,见原敏感性表,results/01_q1/q1_3_sensitivity.csv
1.3,componentwise_pm_10pct_phase0,task_main,reported_fields,,,,0.0651240073680698,,见原敏感性表,results/01_q1/q1_3_sensitivity.csv
1.3,componentwise_pm_10pct_phase0,task_main,reported_fields,,,,-0.0317054478472095,,见原敏感性表,results/01_q1/q1_3_sensitivity.csv
1.3,componentwise_pm_10pct_phase0,task_main,reported_fields,,,,-0.1285349030624884,,见原敏感性表,results/01_q1/q1_3_sensitivity.csv
1.3,componentwise_pm_10pct_phase0,task_main,reported_fields,,,,-0.0317054478472081,,见原敏感性表,results/01_q1/q1_3_sensitivity.csv
1.3,componentwise_pm_10pct_phase0,task_main,reported_fields,,,,-0.1285349030624884,,见原敏感性表,results/01_q1/q1_3_sensitivity.csv
1.3,componentwise_pm_10pct_phase0,task_main,reported_fields,,,,0.0651240073680698,,见原敏感性表,results/01_q1/q1_3_sensitivity.csv
1.3,componentwise_pm_10pct_phase0,task_main,reported_fields,,,,-0.1285349030624879,,见原敏感性表,results/01_q1/q1_3_sensitivity.csv
1.3,componentwise_pm_10pct_phase0,task_main,reported_fields,,,,-0.0317054478472091,,见原敏感性表,results/01_q1/q1_3_sensitivity.csv
